"Step","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700377794__DiagGaussianDistribution-Tanh-num-steps-1024 - train/return","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700377794__DiagGaussianDistribution-Tanh-num-steps-1024 - train/return__MIN","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700377794__DiagGaussianDistribution-Tanh-num-steps-1024 - train/return__MAX","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700224042__DiagGaussianDistribution-Tanh - train/return","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700224042__DiagGaussianDistribution-Tanh - train/return__MIN","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700224042__DiagGaussianDistribution-Tanh - train/return__MAX","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700138663__fixed_lr - train/return","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700138663__fixed_lr - train/return__MIN","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700138663__fixed_lr - train/return__MAX"
"4832","15.422380093954642","15.422380093954642","15.422380093954642","56.45952447406573","56.45952447406573","56.45952447406573","-30.811504662638406","-30.811504662638406","-30.811504662638406"
"4983","23.00941548118521","23.00941548118521","23.00941548118521","56.072388436708415","56.072388436708415","56.072388436708415","-10.88490153890093","-10.88490153890093","-10.88490153890093"
"5134","40.877879746847206","40.877879746847206","40.877879746847206","63.09830489590038","63.09830489590038","63.09830489590038","2.550235336048286","2.550235336048286","2.550235336048286"
"5285","35.96412455720236","35.96412455720236","35.96412455720236","46.88056804854243","46.88056804854243","46.88056804854243","1.7729527142169723","1.7729527142169723","1.7729527142169723"
"5436","16.202588678686265","16.202588678686265","16.202588678686265","27.706276749262763","27.706276749262763","27.706276749262763","-20.607039672830442","-20.607039672830442","-20.607039672830442"
"5587","25.926021090808533","25.926021090808533","25.926021090808533","43.89431173241962","43.89431173241962","43.89431173241962","-14.86887819791213","-14.86887819791213","-14.86887819791213"
"5738","44.50375695565626","44.50375695565626","44.50375695565626","43.31581999103434","43.31581999103434","43.31581999103434","31.376602050037626","31.376602050037626","31.376602050037626"
"5889","19.614850135207046","19.614850135207046","19.614850135207046","28.878129743082486","28.878129743082486","28.878129743082486","5.812294483511812","5.812294483511812","5.812294483511812"
"6040","32.41963456938544","32.41963456938544","32.41963456938544","41.279139485849406","41.279139485849406","41.279139485849406","10.854109167902788","10.854109167902788","10.854109167902788"
"6191","52.26264990513915","52.26264990513915","52.26264990513915","62.38387329854646","62.38387329854646","62.38387329854646","3.0510771873383016","3.0510771873383016","3.0510771873383016"
"6342","36.05489794458709","36.05489794458709","36.05489794458709","46.42279762261991","46.42279762261991","46.42279762261991","19.986967780533067","19.986967780533067","19.986967780533067"
"6493","55.697934348905115","55.697934348905115","55.697934348905115","44.32099624286394","44.32099624286394","44.32099624286394","21.420660300793582","21.420660300793582","21.420660300793582"
"6644","44.34829382479592","44.34829382479592","44.34829382479592","30.59623922242853","30.59623922242853","30.59623922242853","10.808142512959268","10.808142512959268","10.808142512959268"
"6795","48.46086542951354","48.46086542951354","48.46086542951354","-4.123094124959235","-4.123094124959235","-4.123094124959235","3.7988931924607288","3.7988931924607288","3.7988931924607288"
"6946","48.10758127814296","48.10758127814296","48.10758127814296","6.5745159175583945","6.5745159175583945","6.5745159175583945","13.086931548019013","13.086931548019013","13.086931548019013"
"7097","51.93371333196609","51.93371333196609","51.93371333196609","15.622795160412373","15.622795160412373","15.622795160412373","1.2682130639469391","1.2682130639469391","1.2682130639469391"
"7248","62.96430921106388","62.96430921106388","62.96430921106388","41.26975421455716","41.26975421455716","41.26975421455716","8.220563557288022","8.220563557288022","8.220563557288022"
"7399","58.208164196067365","58.208164196067365","58.208164196067365","35.26671299379196","35.26671299379196","35.26671299379196","17.734374988736725","17.734374988736725","17.734374988736725"
"7550","53.10488075892318","53.10488075892318","53.10488075892318","20.60359510353185","20.60359510353185","20.60359510353185","0.60117430874508","0.60117430874508","0.60117430874508"
"7701","41.569559826583266","41.569559826583266","41.569559826583266","23.016510163710354","23.016510163710354","23.016510163710354","21.579563389414545","21.579563389414545","21.579563389414545"
"7852","57.23157456244567","57.23157456244567","57.23157456244567","19.532475363299227","19.532475363299227","19.532475363299227","32.09647505448095","32.09647505448095","32.09647505448095"
"8003","59.819257095216074","59.819257095216074","59.819257095216074","15.252600683481871","15.252600683481871","15.252600683481871","39.077356371026326","39.077356371026326","39.077356371026326"
"8154","51.21404245317743","51.21404245317743","51.21404245317743","13.808025778080218","13.808025778080218","13.808025778080218","34.33879467096624","34.33879467096624","34.33879467096624"
"8305","64.05592980215376","64.05592980215376","64.05592980215376","-6.066626477679053","-6.066626477679053","-6.066626477679053","44.54413590328634","44.54413590328634","44.54413590328634"
"8456","58.773657862178915","58.773657862178915","58.773657862178915","-25.88649074686494","-25.88649074686494","-25.88649074686494","25.50402823283295","25.50402823283295","25.50402823283295"
"8607","58.68579634542895","58.68579634542895","58.68579634542895","24.528424447918898","24.528424447918898","24.528424447918898","31.889639938088855","31.889639938088855","31.889639938088855"
"8758","87.91838876667208","87.91838876667208","87.91838876667208","46.22915955653659","46.22915955653659","46.22915955653659","84.32291497495052","84.32291497495052","84.32291497495052"
"8909","39.474572099257934","39.474572099257934","39.474572099257934","33.40992741797982","33.40992741797982","33.40992741797982","34.219653705573606","34.219653705573606","34.219653705573606"
"9060","73.38428632976965","73.38428632976965","73.38428632976965","32.91070287968481","32.91070287968481","32.91070287968481","60.379602989963495","60.379602989963495","60.379602989963495"
"9211","74.1674518021549","74.1674518021549","74.1674518021549","46.65720839051398","46.65720839051398","46.65720839051398","53.7560796616737","53.7560796616737","53.7560796616737"
"9362","67.66649334247532","67.66649334247532","67.66649334247532","16.05586019044447","16.05586019044447","16.05586019044447","35.11334103390562","35.11334103390562","35.11334103390562"
"9513","57.417409619734144","57.417409619734144","57.417409619734144","26.37855977634057","26.37855977634057","26.37855977634057","58.384684582380274","58.384684582380274","58.384684582380274"
"9664","71.22605944262692","71.22605944262692","71.22605944262692","14.051814191306908","14.051814191306908","14.051814191306908","48.30239989746514","48.30239989746514","48.30239989746514"
"9815","95.08944045964233","95.08944045964233","95.08944045964233","44.07304121742271","44.07304121742271","44.07304121742271","65.13858649334657","65.13858649334657","65.13858649334657"
"9966","91.46888213440383","91.46888213440383","91.46888213440383","46.37616276374717","46.37616276374717","46.37616276374717","60.90987851659391","60.90987851659391","60.90987851659391"
"10117","76.21759004042862","76.21759004042862","76.21759004042862","21.678089696532115","21.678089696532115","21.678089696532115","36.78245674929205","36.78245674929205","36.78245674929205"
"10268","82.95761884354314","82.95761884354314","82.95761884354314","19.825996207034482","19.825996207034482","19.825996207034482","66.71496169152753","66.71496169152753","66.71496169152753"
"10419","100.84650540612992","100.84650540612992","100.84650540612992","6.839207302304951","6.839207302304951","6.839207302304951","62.966191410265886","62.966191410265886","62.966191410265886"
"10570","110.34007583256366","110.34007583256366","110.34007583256366","12.158022035933538","12.158022035933538","12.158022035933538","67.45465177132496","67.45465177132496","67.45465177132496"
"10721","115.69573652535577","115.69573652535577","115.69573652535577","11.186390950173253","11.186390950173253","11.186390950173253","59.287815085710236","59.287815085710236","59.287815085710236"
"10872","129.92317293028137","129.92317293028137","129.92317293028137","26.144749327693297","26.144749327693297","26.144749327693297","55.340662749836426","55.340662749836426","55.340662749836426"
"11023","101.17667978546906","101.17667978546906","101.17667978546906","22.33291999689956","22.33291999689956","22.33291999689956","54.029186972875074","54.029186972875074","54.029186972875074"
"11174","101.5192916386231","101.5192916386231","101.5192916386231","36.16874408373934","36.16874408373934","36.16874408373934","54.68706638445528","54.68706638445528","54.68706638445528"
"11325","114.01331678934359","114.01331678934359","114.01331678934359","36.0627747628888","36.0627747628888","36.0627747628888","62.851725873939074","62.851725873939074","62.851725873939074"
"11476","107.46997968871295","107.46997968871295","107.46997968871295","36.4112933708599","36.4112933708599","36.4112933708599","59.77956949906592","59.77956949906592","59.77956949906592"
"11627","121.04485621253838","121.04485621253838","121.04485621253838","47.32974387830038","47.32974387830038","47.32974387830038","76.71080572194582","76.71080572194582","76.71080572194582"
"11778","120.4303064497895","120.4303064497895","120.4303064497895","40.44182205921512","40.44182205921512","40.44182205921512","61.33054569222219","61.33054569222219","61.33054569222219"
"11929","118.13142443124234","118.13142443124234","118.13142443124234","55.21412021668475","55.21412021668475","55.21412021668475","51.659554272102305","51.659554272102305","51.659554272102305"
"12080","119.0089747722839","119.0089747722839","119.0089747722839","68.16171071624096","68.16171071624096","68.16171071624096","60.85182423698318","60.85182423698318","60.85182423698318"
"12231","116.75844941478528","116.75844941478528","116.75844941478528","65.26079021215857","65.26079021215857","65.26079021215857","81.00037062060588","81.00037062060588","81.00037062060588"
"12382","124.55495543167774","124.55495543167774","124.55495543167774","67.39913918790111","67.39913918790111","67.39913918790111","76.64269559276472","76.64269559276472","76.64269559276472"
"12533","127.5402258419785","127.5402258419785","127.5402258419785","68.05017363283797","68.05017363283797","68.05017363283797","75.59542694140603","75.59542694140603","75.59542694140603"
"12684","124.74337672855599","124.74337672855599","124.74337672855599","28.425654932672376","28.425654932672376","28.425654932672376","63.425618524899036","63.425618524899036","63.425618524899036"
"12835","135.5219178995876","135.5219178995876","135.5219178995876","32.028051483116414","32.028051483116414","32.028051483116414","81.40580697552228","81.40580697552228","81.40580697552228"
"12986","129.4895253067453","129.4895253067453","129.4895253067453","61.82039326755484","61.82039326755484","61.82039326755484","46.90882850308533","46.90882850308533","46.90882850308533"
"13137","132.19026361197567","132.19026361197567","132.19026361197567","59.39505425052887","59.39505425052887","59.39505425052887","66.06141529557722","66.06141529557722","66.06141529557722"
"13288","120.13996855992679","120.13996855992679","120.13996855992679","64.13892640376574","64.13892640376574","64.13892640376574","75.88880638463343","75.88880638463343","75.88880638463343"
"13439","106.83621313921704","106.83621313921704","106.83621313921704","55.81052809631491","55.81052809631491","55.81052809631491","39.9799038182184","39.9799038182184","39.9799038182184"
"13590","108.98075929226916","108.98075929226916","108.98075929226916","52.29604358409028","52.29604358409028","52.29604358409028","52.02653174200897","52.02653174200897","52.02653174200897"
"13741","127.558139620987","127.558139620987","127.558139620987","78.62384836465247","78.62384836465247","78.62384836465247","81.01054112797013","81.01054112797013","81.01054112797013"
"13892","115.46117961277045","115.46117961277045","115.46117961277045","46.31932177990912","46.31932177990912","46.31932177990912","66.81604811069606","66.81604811069606","66.81604811069606"
"14043","100.55648786417369","100.55648786417369","100.55648786417369","53.7643796084668","53.7643796084668","53.7643796084668","47.05090123173483","47.05090123173483","47.05090123173483"
"14194","117.2487147798053","117.2487147798053","117.2487147798053","71.29051368564852","71.29051368564852","71.29051368564852","84.47467996499437","84.47467996499437","84.47467996499437"
"14345","138.23921564951547","138.23921564951547","138.23921564951547","83.21307771765701","83.21307771765701","83.21307771765701","88.17186974680895","88.17186974680895","88.17186974680895"
"14496","129.83472529493167","129.83472529493167","129.83472529493167","45.865758085531525","45.865758085531525","45.865758085531525","77.49675246198922","77.49675246198922","77.49675246198922"
"14647","135.08557165410764","135.08557165410764","135.08557165410764","65.87372125190167","65.87372125190167","65.87372125190167","88.31254045180629","88.31254045180629","88.31254045180629"
"14798","122.9311113327936","122.9311113327936","122.9311113327936","42.02018715431846","42.02018715431846","42.02018715431846","67.81880305350579","67.81880305350579","67.81880305350579"
"14949","118.09363486001595","118.09363486001595","118.09363486001595","17.5438549148336","17.5438549148336","17.5438549148336","68.45039075019822","68.45039075019822","68.45039075019822"
"15100","127.56811955671239","127.56811955671239","127.56811955671239","51.7770191387056","51.7770191387056","51.7770191387056","72.66043237702327","72.66043237702327","72.66043237702327"
"15251","137.36228862397482","137.36228862397482","137.36228862397482","29.78087617069803","29.78087617069803","29.78087617069803","83.16112469876532","83.16112469876532","83.16112469876532"
"15402","133.42048295783013","133.42048295783013","133.42048295783013","-14.766549939862331","-14.766549939862331","-14.766549939862331","83.09958832813466","83.09958832813466","83.09958832813466"
"15553","131.96031931973116","131.96031931973116","131.96031931973116","-20.882791614590545","-20.882791614590545","-20.882791614590545","66.51042976553387","66.51042976553387","66.51042976553387"
"15704","141.0589997285013","141.0589997285013","141.0589997285013","3.9258271532051965","3.9258271532051965","3.9258271532051965","104.01067481867003","104.01067481867003","104.01067481867003"
"15855","141.08775407218232","141.08775407218232","141.08775407218232","26.57278753451919","26.57278753451919","26.57278753451919","77.96665220669303","77.96665220669303","77.96665220669303"
"16006","141.2125873886033","141.2125873886033","141.2125873886033","-7.999598827126593","-7.999598827126593","-7.999598827126593","109.49280984748133","109.49280984748133","109.49280984748133"
"16157","131.000917023646","131.000917023646","131.000917023646","2.2122406449391883","2.2122406449391883","2.2122406449391883","85.24580690618028","85.24580690618028","85.24580690618028"
"16308","133.42817854033177","133.42817854033177","133.42817854033177","37.54074521292014","37.54074521292014","37.54074521292014","91.00835173078667","91.00835173078667","91.00835173078667"
"16459","148.44385380769944","148.44385380769944","148.44385380769944","1.1906306552530532","1.1906306552530532","1.1906306552530532","91.98320911872756","91.98320911872756","91.98320911872756"
"16610","143.4560344708547","143.4560344708547","143.4560344708547","-2.2758280187631814","-2.2758280187631814","-2.2758280187631814","88.91656685171803","88.91656685171803","88.91656685171803"
"16761","135.84750711739372","135.84750711739372","135.84750711739372","19.647436378796815","19.647436378796815","19.647436378796815","84.36803658783892","84.36803658783892","84.36803658783892"
"16912","121.95179806826002","121.95179806826002","121.95179806826002","-19.36806736221143","-19.36806736221143","-19.36806736221143","76.60631749621588","76.60631749621588","76.60631749621588"
"17063","140.61073276042768","140.61073276042768","140.61073276042768","37.00387422157553","37.00387422157553","37.00387422157553","80.17123912212287","80.17123912212287","80.17123912212287"
"17214","144.59525271249814","144.59525271249814","144.59525271249814","40.94186106080346","40.94186106080346","40.94186106080346","82.88121978905727","82.88121978905727","82.88121978905727"
"17365","133.00477931134483","133.00477931134483","133.00477931134483","11.821734550726044","11.821734550726044","11.821734550726044","80.69195267684832","80.69195267684832","80.69195267684832"
"17516","139.5081464323428","139.5081464323428","139.5081464323428","22.82321766446218","22.82321766446218","22.82321766446218","72.16852766070488","72.16852766070488","72.16852766070488"
"17667","124.70097853917366","124.70097853917366","124.70097853917366","7.689541345033508","7.689541345033508","7.689541345033508","72.78184662654331","72.78184662654331","72.78184662654331"
"17818","152.77114845574303","152.77114845574303","152.77114845574303","41.114991097425985","41.114991097425985","41.114991097425985","79.46912350755294","79.46912350755294","79.46912350755294"
"17969","148.31404288634104","148.31404288634104","148.31404288634104","31.27805899924087","31.27805899924087","31.27805899924087","71.50514724003169","71.50514724003169","71.50514724003169"
"18120","140.467596168275","140.467596168275","140.467596168275","37.7836484408386","37.7836484408386","37.7836484408386","86.78577643738059","86.78577643738059","86.78577643738059"
"18271","144.72421745780704","144.72421745780704","144.72421745780704","25.860865501014644","25.860865501014644","25.860865501014644","78.30797496655849","78.30797496655849","78.30797496655849"
"18422","137.57163700298932","137.57163700298932","137.57163700298932","61.75422451620697","61.75422451620697","61.75422451620697","92.83920538399563","92.83920538399563","92.83920538399563"
"18573","129.3482229564652","129.3482229564652","129.3482229564652","56.478835595726295","56.478835595726295","56.478835595726295","95.62008609150338","95.62008609150338","95.62008609150338"
"18724","132.75460243080528","132.75460243080528","132.75460243080528","-3.0762642837726837","-3.0762642837726837","-3.0762642837726837","81.70810751282526","81.70810751282526","81.70810751282526"
"18875","140.2233107308805","140.2233107308805","140.2233107308805","3.506096985932726","3.506096985932726","3.506096985932726","91.14837889947746","91.14837889947746","91.14837889947746"
"19026","138.1038619012789","138.1038619012789","138.1038619012789","31.272437801127612","31.272437801127612","31.272437801127612","99.98248851398016","99.98248851398016","99.98248851398016"
"19177","132.88075421286476","132.88075421286476","132.88075421286476","28.773625938400258","28.773625938400258","28.773625938400258","106.91194166271015","106.91194166271015","106.91194166271015"
"19328","134.9868615764396","134.9868615764396","134.9868615764396","31.397652272463997","31.397652272463997","31.397652272463997","94.00290960140568","94.00290960140568","94.00290960140568"
"19479","135.48581546121235","135.48581546121235","135.48581546121235","1.2861429307107715","1.2861429307107715","1.2861429307107715","99.93050611641253","99.93050611641253","99.93050611641253"
"19630","146.65739869344952","146.65739869344952","146.65739869344952","73.90255868848863","73.90255868848863","73.90255868848863","102.46870185269627","102.46870185269627","102.46870185269627"
"19781","125.37083571116258","125.37083571116258","125.37083571116258","47.677971097624386","47.677971097624386","47.677971097624386","74.15702040840318","74.15702040840318","74.15702040840318"
"19932","147.61849288993173","147.61849288993173","147.61849288993173","38.47564116324874","38.47564116324874","38.47564116324874","96.59323139124444","96.59323139124444","96.59323139124444"
"20083","138.11291092795594","138.11291092795594","138.11291092795594","55.07008853728559","55.07008853728559","55.07008853728559","105.94589732208296","105.94589732208296","105.94589732208296"
"20234","141.42667765353144","141.42667765353144","141.42667765353144","55.08905038145797","55.08905038145797","55.08905038145797","95.60224171667016","95.60224171667016","95.60224171667016"
"20385","113.59283910198945","113.59283910198945","113.59283910198945","48.543751116439616","48.543751116439616","48.543751116439616","85.79276369717064","85.79276369717064","85.79276369717064"
"20536","139.43807054741623","139.43807054741623","139.43807054741623","65.02304145325823","65.02304145325823","65.02304145325823","97.88640956330578","97.88640956330578","97.88640956330578"
"20687","130.38217883355685","130.38217883355685","130.38217883355685","33.84555133267759","33.84555133267759","33.84555133267759","96.13912039146216","96.13912039146216","96.13912039146216"
"20838","140.48390884969203","140.48390884969203","140.48390884969203","62.08908617090466","62.08908617090466","62.08908617090466","121.22038283303424","121.22038283303424","121.22038283303424"
"20989","144.69130018407034","144.69130018407034","144.69130018407034","69.5739585447399","69.5739585447399","69.5739585447399","118.39983816024538","118.39983816024538","118.39983816024538"
"21140","135.66645543715677","135.66645543715677","135.66645543715677","44.66711681514047","44.66711681514047","44.66711681514047","97.11632978289875","97.11632978289875","97.11632978289875"
"21291","142.6372104999169","142.6372104999169","142.6372104999169","72.27533434316699","72.27533434316699","72.27533434316699","114.1802748137743","114.1802748137743","114.1802748137743"
"21442","136.14501897556258","136.14501897556258","136.14501897556258","53.19948846858214","53.19948846858214","53.19948846858214","109.28312730253188","109.28312730253188","109.28312730253188"
"21593","140.29409225766423","140.29409225766423","140.29409225766423","20.142506769335576","20.142506769335576","20.142506769335576","108.7243162974668","108.7243162974668","108.7243162974668"
"21744","146.3303614679095","146.3303614679095","146.3303614679095","19.83495833099112","19.83495833099112","19.83495833099112","114.48462779183404","114.48462779183404","114.48462779183404"
"21895","152.39038532418107","152.39038532418107","152.39038532418107","-3.7959446269633093","-3.7959446269633093","-3.7959446269633093","131.06197618247896","131.06197618247896","131.06197618247896"
"22046","144.66621304349349","144.66621304349349","144.66621304349349","21.34154546966912","21.34154546966912","21.34154546966912","127.47179873841128","127.47179873841128","127.47179873841128"
"22197","154.58598354415238","154.58598354415238","154.58598354415238","4.8155517552260445","4.8155517552260445","4.8155517552260445","105.78099810385578","105.78099810385578","105.78099810385578"
"22348","154.2444258393511","154.2444258393511","154.2444258393511","-0.1252882623898699","-0.1252882623898699","-0.1252882623898699","118.08648385161754","118.08648385161754","118.08648385161754"
"22499","137.4229956259817","137.4229956259817","137.4229956259817","-18.694370164673845","-18.694370164673845","-18.694370164673845","97.91220218656686","97.91220218656686","97.91220218656686"
"22650","155.22131740386865","155.22131740386865","155.22131740386865","-8.352713907001982","-8.352713907001982","-8.352713907001982","116.0103563171537","116.0103563171537","116.0103563171537"
"22801","159.58744693857523","159.58744693857523","159.58744693857523","15.805180681202753","15.805180681202753","15.805180681202753","110.25313940021498","110.25313940021498","110.25313940021498"
"22952","168.43003074200192","168.43003074200192","168.43003074200192","5.859613922635192","5.859613922635192","5.859613922635192","127.66903832412568","127.66903832412568","127.66903832412568"
"23103","156.5482533026296","156.5482533026296","156.5482533026296","-0.23752275118278432","-0.23752275118278432","-0.23752275118278432","118.61554640048104","118.61554640048104","118.61554640048104"
"23254","155.16143714430572","155.16143714430572","155.16143714430572","11.715329706784626","11.715329706784626","11.715329706784626","118.23858630273689","118.23858630273689","118.23858630273689"
"23405","150.38606764283512","150.38606764283512","150.38606764283512","-18.196653071844402","-18.196653071844402","-18.196653071844402","123.37780709361955","123.37780709361955","123.37780709361955"
"23556","164.19691633319616","164.19691633319616","164.19691633319616","-15.208161949700237","-15.208161949700237","-15.208161949700237","119.25259260824853","119.25259260824853","119.25259260824853"
"23707","162.31477002745996","162.31477002745996","162.31477002745996","-45.763699336841","-45.763699336841","-45.763699336841","129.15417534588573","129.15417534588573","129.15417534588573"
