"Step","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-88-1699608275.974176--relu-lr5e-4-one-head-no-clip - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-88-1699608275.974176--relu-lr5e-4-one-head-no-clip - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-88-1699608275.974176--relu-lr5e-4-one-head-no-clip - train/return__MAX"
"40757","1733.1552317276962","1733.1552317276962","1733.1552317276962"
"41526","1747.4246626804359","1747.4246626804359","1747.4246626804359"
"42295","1754.0330014659635","1754.0330014659635","1754.0330014659635"
"43064","1746.8275618141367","1746.8275618141367","1746.8275618141367"
"43833","1752.2418170368242","1752.2418170368242","1752.2418170368242"
"44602","1759.9775338608003","1759.9775338608003","1759.9775338608003"
"45371","1763.0796088000966","1763.0796088000966","1763.0796088000966"
"46140","1759.5896966090231","1759.5896966090231","1759.5896966090231"
"46909","1778.7714321164622","1778.7714321164622","1778.7714321164622"
"47678","1766.2375030753701","1766.2375030753701","1766.2375030753701"
"48447","1783.3877714922298","1783.3877714922298","1783.3877714922298"
"49216","1792.693848664402","1792.693848664402","1792.693848664402"
"49985","1798.5384068623912","1798.5384068623912","1798.5384068623912"
"50754","1801.3110447005774","1801.3110447005774","1801.3110447005774"
"51523","1785.1661873548492","1785.1661873548492","1785.1661873548492"
"52292","1796.1918616692658","1796.1918616692658","1796.1918616692658"
"53061","1794.1498065173373","1794.1498065173373","1794.1498065173373"
"53830","1809.621624540979","1809.621624540979","1809.621624540979"
"54599","1796.3447555466926","1796.3447555466926","1796.3447555466926"
"55368","1800.66764506881","1800.66764506881","1800.66764506881"
"56137","1796.642403723374","1796.642403723374","1796.642403723374"
"56906","1812.2620218862478","1812.2620218862478","1812.2620218862478"
"57675","1813.6257069450758","1813.6257069450758","1813.6257069450758"
"58444","1816.0445576568034","1816.0445576568034","1816.0445576568034"
"59213","1824.4800753522238","1824.4800753522238","1824.4800753522238"
"59982","1815.0380435483519","1815.0380435483519","1815.0380435483519"
"60751","1827.1224029472908","1827.1224029472908","1827.1224029472908"
"61520","1825.8051214690306","1825.8051214690306","1825.8051214690306"
"62289","1814.763016773078","1814.763016773078","1814.763016773078"
"63058","1822.308405968954","1822.308405968954","1822.308405968954"
"63827","1828.8760481947577","1828.8760481947577","1828.8760481947577"
"64596","1824.2055758415695","1824.2055758415695","1824.2055758415695"
"65365","1833.4067056528256","1833.4067056528256","1833.4067056528256"
"66134","1851.1452926572838","1851.1452926572838","1851.1452926572838"
"66903","1846.9465376118756","1846.9465376118756","1846.9465376118756"
"67672","1839.099561994382","1839.099561994382","1839.099561994382"
"68441","1847.031082912713","1847.031082912713","1847.031082912713"
"69210","1856.4360419724765","1856.4360419724765","1856.4360419724765"
"69979","1854.968727735997","1854.968727735997","1854.968727735997"
"70748","1866.982908270887","1866.982908270887","1866.982908270887"
"71517","1846.876105570906","1846.876105570906","1846.876105570906"
"72286","1863.6099209908912","1863.6099209908912","1863.6099209908912"
"73055","1859.351455753367","1859.351455753367","1859.351455753367"
"73824","1859.7857252497492","1859.7857252497492","1859.7857252497492"
"74593","1860.3811137055773","1860.3811137055773","1860.3811137055773"
"75362","1875.7568507909316","1875.7568507909316","1875.7568507909316"
"76131","1867.8694482607652","1867.8694482607652","1867.8694482607652"
"76900","1879.0493546300463","1879.0493546300463","1879.0493546300463"
"77669","1870.4418224139629","1870.4418224139629","1870.4418224139629"
"78438","1873.4526948042076","1873.4526948042076","1873.4526948042076"
"79207","1866.4702559129387","1866.4702559129387","1866.4702559129387"
"79976","1872.892228352764","1872.892228352764","1872.892228352764"
"80745","1886.240831044118","1886.240831044118","1886.240831044118"
"81514","1891.7534899664197","1891.7534899664197","1891.7534899664197"
"82283","1893.5029506996166","1893.5029506996166","1893.5029506996166"
"83052","1885.2861058956148","1885.2861058956148","1885.2861058956148"
"83821","1894.321450840005","1894.321450840005","1894.321450840005"
"84590","1886.2293519426914","1886.2293519426914","1886.2293519426914"
"85359","1880.0858996767827","1880.0858996767827","1880.0858996767827"
"86128","1888.9183764177915","1888.9183764177915","1888.9183764177915"
"86897","1894.5674766118666","1894.5674766118666","1894.5674766118666"
"87666","1901.3439232501598","1901.3439232501598","1901.3439232501598"
"88435","1899.7253840200954","1899.7253840200954","1899.7253840200954"
"89204","1892.2395909251245","1892.2395909251245","1892.2395909251245"
"89973","1906.0397431509314","1906.0397431509314","1906.0397431509314"
"90742","1898.8538181446731","1898.8538181446731","1898.8538181446731"
"91511","1908.7048297380234","1908.7048297380234","1908.7048297380234"
"92280","1901.9336808875","1901.9336808875","1901.9336808875"
"93049","1911.1306640355563","1911.1306640355563","1911.1306640355563"
"93818","1912.9178824149224","1912.9178824149224","1912.9178824149224"
"94587","1922.5367690804255","1922.5367690804255","1922.5367690804255"
"95356","1901.0335068997847","1901.0335068997847","1901.0335068997847"
"96125","1906.4407922716146","1906.4407922716146","1906.4407922716146"
"96894","1905.3925916972694","1905.3925916972694","1905.3925916972694"
"97663","1914.04695196505","1914.04695196505","1914.04695196505"
"98432","1909.3656241444507","1909.3656241444507","1909.3656241444507"
"99201","1920.3027785101149","1920.3027785101149","1920.3027785101149"
"99970","1906.132606316722","1906.132606316722","1906.132606316722"
"100739","1915.2370970904294","1915.2370970904294","1915.2370970904294"
"101508","1903.652574121645","1903.652574121645","1903.652574121645"
"102277","1919.1778102838111","1919.1778102838111","1919.1778102838111"
"103046","1921.8936893913822","1921.8936893913822","1921.8936893913822"
"103815","1916.342242095894","1916.342242095894","1916.342242095894"
"104584","1929.8490248234266","1929.8490248234266","1929.8490248234266"
"105353","1917.983065689999","1917.983065689999","1917.983065689999"
"106122","1914.5121437261973","1914.5121437261973","1914.5121437261973"
"106891","1924.04704974782","1924.04704974782","1924.04704974782"
"107660","1926.5414309438859","1926.5414309438859","1926.5414309438859"
"108429","1917.8692426910166","1917.8692426910166","1917.8692426910166"
"109198","1935.9459077401873","1935.9459077401873","1935.9459077401873"
"109967","1915.1125528653383","1915.1125528653383","1915.1125528653383"
"110736","1932.151865190293","1932.151865190293","1932.151865190293"
"111505","1927.9860468735617","1927.9860468735617","1927.9860468735617"
"112274","1930.4349121318535","1930.4349121318535","1930.4349121318535"
"113043","1939.5852581234876","1939.5852581234876","1939.5852581234876"
"113812","1922.3456021560369","1922.3456021560369","1922.3456021560369"
"114581","1929.7236703800293","1929.7236703800293","1929.7236703800293"
"115350","1942.568058509143","1942.568058509143","1942.568058509143"
"116119","1927.7286793215294","1927.7286793215294","1927.7286793215294"
"116888","1928.4478401561892","1928.4478401561892","1928.4478401561892"
"117657","1938.216484688699","1938.216484688699","1938.216484688699"
"118426","1940.417212196523","1940.417212196523","1940.417212196523"
"119195","1940.9202462547398","1940.9202462547398","1940.9202462547398"
"119964","1943.7658492486755","1943.7658492486755","1943.7658492486755"
"120733","1941.944747416289","1941.944747416289","1941.944747416289"
"121502","1937.0113242507614","1937.0113242507614","1937.0113242507614"
"122271","1932.4146711482915","1932.4146711482915","1932.4146711482915"
"123040","1941.7455932723444","1941.7455932723444","1941.7455932723444"
"123809","1943.2408201263108","1943.2408201263108","1943.2408201263108"
"124578","1938.4123808858044","1938.4123808858044","1938.4123808858044"
"125347","1955.7153662490468","1955.7153662490468","1955.7153662490468"
"126116","1937.4173111285663","1937.4173111285663","1937.4173111285663"
"126885","1946.6392283018672","1946.6392283018672","1946.6392283018672"
"127654","1943.8498081654618","1943.8498081654618","1943.8498081654618"
"128423","1947.228207602584","1947.228207602584","1947.228207602584"
"129192","1959.8114595959626","1959.8114595959626","1959.8114595959626"
"129961","1960.980516312104","1960.980516312104","1960.980516312104"
"130730","1955.0229291096077","1955.0229291096077","1955.0229291096077"
"131499","1960.9396393884606","1960.9396393884606","1960.9396393884606"
"132268","1952.878447398464","1952.878447398464","1952.878447398464"
"133037","1946.979876887312","1946.979876887312","1946.979876887312"
"133806","1958.1686956994376","1958.1686956994376","1958.1686956994376"
"134575","1951.06135238418","1951.06135238418","1951.06135238418"
"135344","1949.6103185058985","1949.6103185058985","1949.6103185058985"
"136113","1941.8431738317774","1941.8431738317774","1941.8431738317774"
"136882","1965.4224652499656","1965.4224652499656","1965.4224652499656"
"137651","1947.9483854689317","1947.9483854689317","1947.9483854689317"
"138420","1940.5898402778682","1940.5898402778682","1940.5898402778682"
"139189","1949.2132562887869","1949.2132562887869","1949.2132562887869"
"139958","1944.6247009898627","1944.6247009898627","1944.6247009898627"
"140727","1951.3533612306762","1951.3533612306762","1951.3533612306762"
"141496","1964.3704042086697","1964.3704042086697","1964.3704042086697"
"142265","1958.5465438623469","1958.5465438623469","1958.5465438623469"
"143034","1961.143858387476","1961.143858387476","1961.143858387476"
"143803","1954.8246116177777","1954.8246116177777","1954.8246116177777"
"144572","1959.9886453798342","1959.9886453798342","1959.9886453798342"
"145341","1961.9394640203682","1961.9394640203682","1961.9394640203682"
"146110","1960.4308560827506","1960.4308560827506","1960.4308560827506"
"146879","1948.752230663711","1948.752230663711","1948.752230663711"
"147648","1957.2651558053697","1957.2651558053697","1957.2651558053697"
"148417","1960.1039737794206","1960.1039737794206","1960.1039737794206"
"149186","1963.93720989266","1963.93720989266","1963.93720989266"
"149955","1954.8489697089608","1954.8489697089608","1954.8489697089608"
"150724","1968.3423327533226","1968.3423327533226","1968.3423327533226"
"151493","1966.3440409081486","1966.3440409081486","1966.3440409081486"
"152262","1971.8009383337933","1971.8009383337933","1971.8009383337933"
"153031","1970.3039527547699","1970.3039527547699","1970.3039527547699"
"153800","1969.9371373489844","1969.9371373489844","1969.9371373489844"
"154569","1979.064694055667","1979.064694055667","1979.064694055667"
"155338","1964.7712252355893","1964.7712252355893","1964.7712252355893"
"156107","1972.2512948911942","1972.2512948911942","1972.2512948911942"
"156876","1971.6509638136733","1971.6509638136733","1971.6509638136733"
"157645","1975.3575711862609","1975.3575711862609","1975.3575711862609"
"158414","1968.5792984465368","1968.5792984465368","1968.5792984465368"
"159183","1962.0796615537383","1962.0796615537383","1962.0796615537383"
"159952","1965.435229982359","1965.435229982359","1965.435229982359"
"160721","1974.9267483611645","1974.9267483611645","1974.9267483611645"
"161490","1966.7724323602836","1966.7724323602836","1966.7724323602836"
"162259","1979.7125008755957","1979.7125008755957","1979.7125008755957"
"163028","1977.988524276243","1977.988524276243","1977.988524276243"
"163797","1970.2141153134398","1970.2141153134398","1970.2141153134398"
"164566","1988.5038384528345","1988.5038384528345","1988.5038384528345"
"165335","1981.5945372561378","1981.5945372561378","1981.5945372561378"
"166104","1988.2322864839987","1988.2322864839987","1988.2322864839987"
"166873","1978.328985015434","1978.328985015434","1978.328985015434"
"167642","1970.3427623787993","1970.3427623787993","1970.3427623787993"
"168411","1973.7838445952082","1973.7838445952082","1973.7838445952082"
"169180","1979.1602634818357","1979.1602634818357","1979.1602634818357"
"169949","1983.3808546543175","1983.3808546543175","1983.3808546543175"
"170718","1969.850210005575","1969.850210005575","1969.850210005575"
"171487","1990.9178759783722","1990.9178759783722","1990.9178759783722"
"172256","1985.2234549900647","1985.2234549900647","1985.2234549900647"
"173025","1986.6160958518394","1986.6160958518394","1986.6160958518394"
"173794","1990.7240389575745","1990.7240389575745","1990.7240389575745"
"174563","1982.3168675421412","1982.3168675421412","1982.3168675421412"
"175332","1980.9381183478436","1980.9381183478436","1980.9381183478436"
"176101","1975.3736591283464","1975.3736591283464","1975.3736591283464"
"176870","1971.5413502618235","1971.5413502618235","1971.5413502618235"
"177639","1985.1580562892386","1985.1580562892386","1985.1580562892386"
"178408","1983.5556659441386","1983.5556659441386","1983.5556659441386"
"179177","1990.2123774045513","1990.2123774045513","1990.2123774045513"
"179946","1977.3145664839851","1977.3145664839851","1977.3145664839851"
"180715","1967.7476187841269","1967.7476187841269","1967.7476187841269"
"181484","1986.8005207055387","1986.8005207055387","1986.8005207055387"
"182253","1987.468347045766","1987.468347045766","1987.468347045766"
"183022","1963.4021760050957","1963.4021760050957","1963.4021760050957"
"183791","1982.85370086618","1982.85370086618","1982.85370086618"
"184560","1976.399603811986","1976.399603811986","1976.399603811986"
"185329","1978.0768182851584","1978.0768182851584","1978.0768182851584"
"186098","1985.662504821883","1985.662504821883","1985.662504821883"
"186867","1984.5074068590761","1984.5074068590761","1984.5074068590761"
"187636","1984.9520110958663","1984.9520110958663","1984.9520110958663"
"188405","1980.7458871603217","1980.7458871603217","1980.7458871603217"
"189174","1985.430547503027","1985.430547503027","1985.430547503027"
"189943","1987.6965082660056","1987.6965082660056","1987.6965082660056"
"190712","1972.944325364992","1972.944325364992","1972.944325364992"
"191481","1993.4302480084384","1993.4302480084384","1993.4302480084384"
"192250","1991.8053775846251","1991.8053775846251","1991.8053775846251"
"193019","1984.9224394076189","1984.9224394076189","1984.9224394076189"
"193788","1991.0161719487344","1991.0161719487344","1991.0161719487344"
"194557","1993.2306319184752","1993.2306319184752","1993.2306319184752"
"195326","1979.9274583314411","1979.9274583314411","1979.9274583314411"
"196095","1981.952553593742","1981.952553593742","1981.952553593742"
"196864","1993.2490859998652","1993.2490859998652","1993.2490859998652"
"197633","1986.0423047134343","1986.0423047134343","1986.0423047134343"
"198402","1983.1528882732327","1983.1528882732327","1983.1528882732327"
"199171","1992.7490431419787","1992.7490431419787","1992.7490431419787"
"199940","1999.6472689397535","1999.6472689397535","1999.6472689397535"
"200709","1994.3320538275063","1994.3320538275063","1994.3320538275063"
"201478","1998.496206382522","1998.496206382522","1998.496206382522"
"202247","1979.549796898883","1979.549796898883","1979.549796898883"
"203016","1988.7659021081959","1988.7659021081959","1988.7659021081959"
"203785","1993.5759584670766","1993.5759584670766","1993.5759584670766"
"204554","1984.4621278075128","1984.4621278075128","1984.4621278075128"
"205323","1998.686480540821","1998.686480540821","1998.686480540821"
"206092","1973.128987447024","1973.128987447024","1973.128987447024"
"206861","1993.098495983791","1993.098495983791","1993.098495983791"
"207630","1994.0998383513443","1994.0998383513443","1994.0998383513443"
"208399","1993.7959120926644","1993.7959120926644","1993.7959120926644"
"209168","1985.5787607787952","1985.5787607787952","1985.5787607787952"
"209937","1989.7032725417898","1989.7032725417898","1989.7032725417898"
"210706","1988.3743296747896","1988.3743296747896","1988.3743296747896"
"211475","2010.2701487793654","2010.2701487793654","2010.2701487793654"
"212244","1993.86348665049","1993.86348665049","1993.86348665049"
"213013","1997.564772861372","1997.564772861372","1997.564772861372"
"213782","1986.5239857643885","1986.5239857643885","1986.5239857643885"
"214551","2004.6934468407146","2004.6934468407146","2004.6934468407146"
"215320","2013.9557022505203","2013.9557022505203","2013.9557022505203"
"216089","1995.2029829150574","1995.2029829150574","1995.2029829150574"
"216858","1990.4210406033858","1990.4210406033858","1990.4210406033858"
"217627","2001.0526720867508","2001.0526720867508","2001.0526720867508"
"218396","1997.2811648891864","1997.2811648891864","1997.2811648891864"
"219165","2008.0465436261268","2008.0465436261268","2008.0465436261268"
"219934","1995.1036901665618","1995.1036901665618","1995.1036901665618"
"220703","2006.0114608374795","2006.0114608374795","2006.0114608374795"
"221472","1996.9405947789369","1996.9405947789369","1996.9405947789369"
"222241","1998.0746321069869","1998.0746321069869","1998.0746321069869"
"223010","1995.6234952018935","1995.6234952018935","1995.6234952018935"
"223779","2007.092834646343","2007.092834646343","2007.092834646343"
"224548","1995.829886482389","1995.829886482389","1995.829886482389"
"225317","2011.993130341479","2011.993130341479","2011.993130341479"
"226086","1988.211273803944","1988.211273803944","1988.211273803944"
"226855","1993.9688670642204","1993.9688670642204","1993.9688670642204"
"227624","2007.551380992942","2007.551380992942","2007.551380992942"
"228393","2000.4134957684942","2000.4134957684942","2000.4134957684942"
"229162","2009.172549308486","2009.172549308486","2009.172549308486"
"229931","2011.4397030956231","2011.4397030956231","2011.4397030956231"
"230700","2023.8218887372927","2023.8218887372927","2023.8218887372927"
"231469","2005.1536651515462","2005.1536651515462","2005.1536651515462"
"232238","2010.296464845922","2010.296464845922","2010.296464845922"
"233007","2002.1062932107527","2002.1062932107527","2002.1062932107527"
"233776","1989.146374296957","1989.146374296957","1989.146374296957"
"234545","2006.6964995613737","2006.6964995613737","2006.6964995613737"
"235314","2017.1176514535555","2017.1176514535555","2017.1176514535555"
"236083","1996.8943122285668","1996.8943122285668","1996.8943122285668"
"236852","1999.9241342352366","1999.9241342352366","1999.9241342352366"
"237621","1997.2539746305426","1997.2539746305426","1997.2539746305426"
"238390","2019.9339469389918","2019.9339469389918","2019.9339469389918"
"239159","2005.1220436189271","2005.1220436189271","2005.1220436189271"
"239928","2009.0636020510826","2009.0636020510826","2009.0636020510826"
"240697","2001.0927953637934","2001.0927953637934","2001.0927953637934"
"241466","2014.5236744158112","2014.5236744158112","2014.5236744158112"
"242235","2014.3030016354642","2014.3030016354642","2014.3030016354642"
"243004","2005.7117858697013","2005.7117858697013","2005.7117858697013"
"243773","2013.3206597817027","2013.3206597817027","2013.3206597817027"
"244542","1998.477434179345","1998.477434179345","1998.477434179345"
"245311","2008.9336267362842","2008.9336267362842","2008.9336267362842"
"246080","2021.519308664063","2021.519308664063","2021.519308664063"
"246849","2004.4894144549553","2004.4894144549553","2004.4894144549553"
"247618","2003.0859715449512","2003.0859715449512","2003.0859715449512"
"248387","2001.819664899367","2001.819664899367","2001.819664899367"
"249156","2007.973644009701","2007.973644009701","2007.973644009701"
"249925","2002.6141520992778","2002.6141520992778","2002.6141520992778"
"250694","2017.5007160125972","2017.5007160125972","2017.5007160125972"
"251463","2011.5797632859135","2011.5797632859135","2011.5797632859135"
"252232","2007.327304081044","2007.327304081044","2007.327304081044"
"253001","2003.2716869571257","2003.2716869571257","2003.2716869571257"
"253770","2011.6884420999272","2011.6884420999272","2011.6884420999272"
"254539","2016.0841002770271","2016.0841002770271","2016.0841002770271"
"255308","2014.058191237465","2014.058191237465","2014.058191237465"
"256077","2014.2387670499322","2014.2387670499322","2014.2387670499322"
"256846","2005.146604676045","2005.146604676045","2005.146604676045"
"257615","2010.254632807601","2010.254632807601","2010.254632807601"
"258384","2012.227826501065","2012.227826501065","2012.227826501065"
"259153","2016.1442763613052","2016.1442763613052","2016.1442763613052"
"259922","2025.5776025553282","2025.5776025553282","2025.5776025553282"
"260691","1996.2850685043638","1996.2850685043638","1996.2850685043638"
"261460","2016.3820592413733","2016.3820592413733","2016.3820592413733"
"262229","2014.2222978167308","2014.2222978167308","2014.2222978167308"
"262998","2018.6462979255484","2018.6462979255484","2018.6462979255484"
"263767","2020.2152263971223","2020.2152263971223","2020.2152263971223"
"264536","2007.143868968445","2007.143868968445","2007.143868968445"
"265305","2014.4019805239534","2014.4019805239534","2014.4019805239534"
"266074","2020.39205787902","2020.39205787902","2020.39205787902"
"266843","2009.3858060181842","2009.3858060181842","2009.3858060181842"
"267612","2009.1633390827749","2009.1633390827749","2009.1633390827749"
"268381","2023.8711918119757","2023.8711918119757","2023.8711918119757"
"269150","2013.3381257863114","2013.3381257863114","2013.3381257863114"
"269919","2033.137224676308","2033.137224676308","2033.137224676308"
"270688","2017.5561431754397","2017.5561431754397","2017.5561431754397"
"271457","2010.5284135965508","2010.5284135965508","2010.5284135965508"
"272226","2034.9493882644263","2034.9493882644263","2034.9493882644263"
"272995","2011.100706110898","2011.100706110898","2011.100706110898"
"273764","2014.049020047645","2014.049020047645","2014.049020047645"
"274533","2017.474796506329","2017.474796506329","2017.474796506329"
"275302","2015.1490923412632","2015.1490923412632","2015.1490923412632"
"276071","2029.3728322177792","2029.3728322177792","2029.3728322177792"
"276840","2031.671101372926","2031.671101372926","2031.671101372926"
"277609","2030.749162885252","2030.749162885252","2030.749162885252"
"278378","2022.9211242834706","2022.9211242834706","2022.9211242834706"
"279147","2024.222540267237","2024.222540267237","2024.222540267237"
"279916","2020.6385874847872","2020.6385874847872","2020.6385874847872"
"280685","2016.8671919159428","2016.8671919159428","2016.8671919159428"
"281454","2025.4539166410527","2025.4539166410527","2025.4539166410527"
"282223","2026.5076978191116","2026.5076978191116","2026.5076978191116"
"282992","2031.3874888289922","2031.3874888289922","2031.3874888289922"
"283761","2018.3869751694829","2018.3869751694829","2018.3869751694829"
"284530","2022.151956034357","2022.151956034357","2022.151956034357"
"285299","2028.2951867838985","2028.2951867838985","2028.2951867838985"
"286068","2021.960809951805","2021.960809951805","2021.960809951805"
"286837","2017.20695687413","2017.20695687413","2017.20695687413"
"287606","2026.646901864018","2026.646901864018","2026.646901864018"
"288375","2022.0606666863234","2022.0606666863234","2022.0606666863234"
"289144","2041.9578246998892","2041.9578246998892","2041.9578246998892"
"289913","2036.8121119051282","2036.8121119051282","2036.8121119051282"
"290682","2018.7173786161884","2018.7173786161884","2018.7173786161884"
"291451","2018.643847270204","2018.643847270204","2018.643847270204"
"292220","2037.7582753746024","2037.7582753746024","2037.7582753746024"
"292989","2021.7372754615158","2021.7372754615158","2021.7372754615158"
"293758","2028.8775941621134","2028.8775941621134","2028.8775941621134"
"294527","2014.6724003907934","2014.6724003907934","2014.6724003907934"
"295296","2028.6771907791879","2028.6771907791879","2028.6771907791879"
"296065","2026.9512568974683","2026.9512568974683","2026.9512568974683"
"296834","2020.8652213807673","2020.8652213807673","2020.8652213807673"
"297603","2029.532930189132","2029.532930189132","2029.532930189132"
"298372","2009.4194770443476","2009.4194770443476","2009.4194770443476"
"299141","2014.7075200795907","2014.7075200795907","2014.7075200795907"
"299910","2029.0122133695006","2029.0122133695006","2029.0122133695006"
"300679","2030.9850816882736","2030.9850816882736","2030.9850816882736"
"301448","2029.1738154018808","2029.1738154018808","2029.1738154018808"
"302217","2019.7305169532385","2019.7305169532385","2019.7305169532385"
"302986","2027.674954416642","2027.674954416642","2027.674954416642"
"303755","2033.4369825050537","2033.4369825050537","2033.4369825050537"
"304524","2015.3865646298652","2015.3865646298652","2015.3865646298652"
"305293","2026.5272546143408","2026.5272546143408","2026.5272546143408"
"306062","2028.5378940574662","2028.5378940574662","2028.5378940574662"
"306831","2018.8154765973793","2018.8154765973793","2018.8154765973793"
"307600","2033.2872405015885","2033.2872405015885","2033.2872405015885"
"308369","2026.1541217657891","2026.1541217657891","2026.1541217657891"
"309138","2022.342445838928","2022.342445838928","2022.342445838928"
"309907","2030.7182628987464","2030.7182628987464","2030.7182628987464"
"310676","2022.886546781123","2022.886546781123","2022.886546781123"
"311445","2018.5820333092954","2018.5820333092954","2018.5820333092954"
"312214","2035.7208547486189","2035.7208547486189","2035.7208547486189"
"312983","2033.581380600993","2033.581380600993","2033.581380600993"
"313752","2022.9222110496087","2022.9222110496087","2022.9222110496087"
"314521","2026.2384434222681","2026.2384434222681","2026.2384434222681"
"315290","2030.809448705127","2030.809448705127","2030.809448705127"
"316059","2035.3184353120537","2035.3184353120537","2035.3184353120537"
"316828","2039.1531356615233","2039.1531356615233","2039.1531356615233"
"317597","2035.0893402225083","2035.0893402225083","2035.0893402225083"
"318366","2038.664624073655","2038.664624073655","2038.664624073655"
"319135","2045.1140364142634","2045.1140364142634","2045.1140364142634"
"319904","2039.5492778080504","2039.5492778080504","2039.5492778080504"
"320673","2028.58098904518","2028.58098904518","2028.58098904518"
"321442","2026.7737598251704","2026.7737598251704","2026.7737598251704"
"322211","2039.264596329726","2039.264596329726","2039.264596329726"
"322980","2044.0416818875647","2044.0416818875647","2044.0416818875647"
"323749","2036.8917137023402","2036.8917137023402","2036.8917137023402"
"324518","2038.1057425933764","2038.1057425933764","2038.1057425933764"
"325287","2040.1658124684097","2040.1658124684097","2040.1658124684097"
"326056","2040.4915723708193","2040.4915723708193","2040.4915723708193"
"326825","2037.9119264312717","2037.9119264312717","2037.9119264312717"
"327594","2037.0050672223274","2037.0050672223274","2037.0050672223274"
"328363","2024.0753318228158","2024.0753318228158","2024.0753318228158"
"329132","2033.0338788045347","2033.0338788045347","2033.0338788045347"
"329901","2035.7313946300785","2035.7313946300785","2035.7313946300785"
"330670","2039.2115776621226","2039.2115776621226","2039.2115776621226"
"331439","2039.773643361855","2039.773643361855","2039.773643361855"
"332208","2027.2376562094773","2027.2376562094773","2027.2376562094773"
"332977","2034.4595828289728","2034.4595828289728","2034.4595828289728"
"333746","2036.662697874927","2036.662697874927","2036.662697874927"
"334515","2043.8727566069335","2043.8727566069335","2043.8727566069335"
"335284","2032.94399101731","2032.94399101731","2032.94399101731"
