"Step","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700226160.6368287--dipo-NocturneOp9No2 - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700226160.6368287--dipo-NocturneOp9No2 - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700226160.6368287--dipo-NocturneOp9No2 - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-43-1700226040.2150228--dipo-NocturneOp9No2 - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-43-1700226040.2150228--dipo-NocturneOp9No2 - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-43-1700226040.2150228--dipo-NocturneOp9No2 - train/return__MAX"
"17687","1636.3958810579888","1636.3958810579888","1636.3958810579888","1548.637427871035","1548.637427871035","1548.637427871035"
"18456","1599.5011298164986","1599.5011298164986","1599.5011298164986","1552.9334299878763","1552.9334299878763","1552.9334299878763"
"19225","1622.4198081374982","1622.4198081374982","1622.4198081374982","1589.3773083029946","1589.3773083029946","1589.3773083029946"
"19994","1607.3508618012916","1607.3508618012916","1607.3508618012916","1578.5387022347566","1578.5387022347566","1578.5387022347566"
"20763","1659.5997607566785","1659.5997607566785","1659.5997607566785","1608.3256641934297","1608.3256641934297","1608.3256641934297"
"21532","1654.2424640275885","1654.2424640275885","1654.2424640275885","1580.0642917231723","1580.0642917231723","1580.0642917231723"
"22301","1660.1714914012973","1660.1714914012973","1660.1714914012973","1610.867719277563","1610.867719277563","1610.867719277563"
"23070","1693.4775142223436","1693.4775142223436","1693.4775142223436","1629.5682128142944","1629.5682128142944","1629.5682128142944"
"23839","1690.2864265755427","1690.2864265755427","1690.2864265755427","1617.521718082613","1617.521718082613","1617.521718082613"
"24608","1687.0880021405148","1687.0880021405148","1687.0880021405148","1649.0963362181872","1649.0963362181872","1649.0963362181872"
"25377","1663.8631079566555","1663.8631079566555","1663.8631079566555","1654.7982665368174","1654.7982665368174","1654.7982665368174"
"26146","1696.650366061505","1696.650366061505","1696.650366061505","1634.7383401598358","1634.7383401598358","1634.7383401598358"
"26915","1713.3179141706637","1713.3179141706637","1713.3179141706637","1660.2354297355312","1660.2354297355312","1660.2354297355312"
"27684","1717.4143441927638","1717.4143441927638","1717.4143441927638","1692.4657521414576","1692.4657521414576","1692.4657521414576"
"28453","1744.4057342477279","1744.4057342477279","1744.4057342477279","1709.9102943328228","1709.9102943328228","1709.9102943328228"
"29222","1752.1125711682914","1752.1125711682914","1752.1125711682914","1705.4919596510224","1705.4919596510224","1705.4919596510224"
"29991","1765.2514253928266","1765.2514253928266","1765.2514253928266","1730.4854853787965","1730.4854853787965","1730.4854853787965"
"30760","1757.210052408578","1757.210052408578","1757.210052408578","1739.3204172173766","1739.3204172173766","1739.3204172173766"
"31529","1772.4532876692926","1772.4532876692926","1772.4532876692926","1733.4941514542106","1733.4941514542106","1733.4941514542106"
"32298","1787.9559917665536","1787.9559917665536","1787.9559917665536","1747.5455512559654","1747.5455512559654","1747.5455512559654"
"33067","1788.4844897304883","1788.4844897304883","1788.4844897304883","1756.3537642607064","1756.3537642607064","1756.3537642607064"
"33836","1795.4830368846967","1795.4830368846967","1795.4830368846967","1762.1569521637675","1762.1569521637675","1762.1569521637675"
"34605","1799.5542150559565","1799.5542150559565","1799.5542150559565","1762.5360755748761","1762.5360755748761","1762.5360755748761"
"35374","1801.6462549681894","1801.6462549681894","1801.6462549681894","1777.6740578296701","1777.6740578296701","1777.6740578296701"
"36143","1805.8512637387773","1805.8512637387773","1805.8512637387773","1796.5562863975672","1796.5562863975672","1796.5562863975672"
"36912","1825.8839286448526","1825.8839286448526","1825.8839286448526","1792.628959825542","1792.628959825542","1792.628959825542"
"37681","1824.0102418612962","1824.0102418612962","1824.0102418612962","1783.2119910641595","1783.2119910641595","1783.2119910641595"
"38450","1841.1001776084847","1841.1001776084847","1841.1001776084847","1809.3878501649172","1809.3878501649172","1809.3878501649172"
"39219","1848.1622624203249","1848.1622624203249","1848.1622624203249","1802.8815003616924","1802.8815003616924","1802.8815003616924"
"39988","1850.9802940611814","1850.9802940611814","1850.9802940611814","1820.8141658189104","1820.8141658189104","1820.8141658189104"
"40757","1860.4611120534823","1860.4611120534823","1860.4611120534823","1835.6939392579768","1835.6939392579768","1835.6939392579768"
"41526","1850.7919313838868","1850.7919313838868","1850.7919313838868","1839.2903739835629","1839.2903739835629","1839.2903739835629"
"42295","1869.028248324354","1869.028248324354","1869.028248324354","1837.441784123237","1837.441784123237","1837.441784123237"
"43064","1871.6547398919436","1871.6547398919436","1871.6547398919436","1838.4281454681313","1838.4281454681313","1838.4281454681313"
"43833","1887.3629475291689","1887.3629475291689","1887.3629475291689","1851.005249302782","1851.005249302782","1851.005249302782"
"44602","1877.3588312286272","1877.3588312286272","1877.3588312286272","1864.124825818209","1864.124825818209","1864.124825818209"
"45371","1877.9462911770675","1877.9462911770675","1877.9462911770675","1871.2105208460139","1871.2105208460139","1871.2105208460139"
"46140","1881.579680936653","1881.579680936653","1881.579680936653","1868.377921791012","1868.377921791012","1868.377921791012"
"46909","1897.9259093832295","1897.9259093832295","1897.9259093832295","1877.3545325065447","1877.3545325065447","1877.3545325065447"
"47678","1896.1712081283508","1896.1712081283508","1896.1712081283508","1878.9255653634166","1878.9255653634166","1878.9255653634166"
"48447","1895.2658711565516","1895.2658711565516","1895.2658711565516","1885.2763396543244","1885.2763396543244","1885.2763396543244"
"49216","1907.24774735468","1907.24774735468","1907.24774735468","1888.534037280833","1888.534037280833","1888.534037280833"
"49985","1917.3728525658425","1917.3728525658425","1917.3728525658425","1896.172941243468","1896.172941243468","1896.172941243468"
"50754","1916.6630623389622","1916.6630623389622","1916.6630623389622","1873.364301913507","1873.364301913507","1873.364301913507"
"51523","1920.5502634311745","1920.5502634311745","1920.5502634311745","1906.549197932051","1906.549197932051","1906.549197932051"
"52292","1914.4273491489348","1914.4273491489348","1914.4273491489348","1895.5324821909642","1895.5324821909642","1895.5324821909642"
"53061","1919.0904891148098","1919.0904891148098","1919.0904891148098","1910.782717477265","1910.782717477265","1910.782717477265"
"53830","1926.0373194145059","1926.0373194145059","1926.0373194145059","1900.683109666562","1900.683109666562","1900.683109666562"
"54599","1930.8817604075607","1930.8817604075607","1930.8817604075607","1915.7725240039479","1915.7725240039479","1915.7725240039479"
"55368","1931.1177444030257","1931.1177444030257","1931.1177444030257","1908.2704917857889","1908.2704917857889","1908.2704917857889"
"56137","1934.3254331154296","1934.3254331154296","1934.3254331154296","1911.9301185790216","1911.9301185790216","1911.9301185790216"
"56906","1945.475705712504","1945.475705712504","1945.475705712504","1917.8865668208903","1917.8865668208903","1917.8865668208903"
"57675","1941.0507044066053","1941.0507044066053","1941.0507044066053","1922.8711715085979","1922.8711715085979","1922.8711715085979"
"58444","1944.2518640874323","1944.2518640874323","1944.2518640874323","1930.6588613091203","1930.6588613091203","1930.6588613091203"
"59213","1953.7480195585272","1953.7480195585272","1953.7480195585272","1936.8101485537275","1936.8101485537275","1936.8101485537275"
"59982","1948.467163798005","1948.467163798005","1948.467163798005","1935.9655704340087","1935.9655704340087","1935.9655704340087"
"60751","1968.9620411346555","1968.9620411346555","1968.9620411346555","1936.454691872517","1936.454691872517","1936.454691872517"
"61520","1964.1737223935704","1964.1737223935704","1964.1737223935704","1941.9128261847964","1941.9128261847964","1941.9128261847964"
"62289","1962.220680888262","1962.220680888262","1962.220680888262","1943.4223159975018","1943.4223159975018","1943.4223159975018"
"63058","1970.5615052028681","1970.5615052028681","1970.5615052028681","1947.0385997530775","1947.0385997530775","1947.0385997530775"
"63827","1967.4112683150443","1967.4112683150443","1967.4112683150443","1936.9259438259091","1936.9259438259091","1936.9259438259091"
"64596","1977.3915125902843","1977.3915125902843","1977.3915125902843","1943.176951668868","1943.176951668868","1943.176951668868"
"65365","1968.0978681011745","1968.0978681011745","1968.0978681011745","1948.6973393193673","1948.6973393193673","1948.6973393193673"
"66134","1979.3268362749795","1979.3268362749795","1979.3268362749795","1948.2339926979762","1948.2339926979762","1948.2339926979762"
"66903","1966.9689342377806","1966.9689342377806","1966.9689342377806","1956.7355068866636","1956.7355068866636","1956.7355068866636"
"67672","1974.5293549886478","1974.5293549886478","1974.5293549886478","1965.4319082710103","1965.4319082710103","1965.4319082710103"
"68441","1977.213927572895","1977.213927572895","1977.213927572895","1958.5242343961006","1958.5242343961006","1958.5242343961006"
"69210","1976.6969782986466","1976.6969782986466","1976.6969782986466","1954.1301310158758","1954.1301310158758","1954.1301310158758"
"69979","1982.4979328534428","1982.4979328534428","1982.4979328534428","1967.1352024507394","1967.1352024507394","1967.1352024507394"
"70748","1985.7281566196784","1985.7281566196784","1985.7281566196784","1959.8210278646752","1959.8210278646752","1959.8210278646752"
"71517","1986.6358718529775","1986.6358718529775","1986.6358718529775","1961.6505613780678","1961.6505613780678","1961.6505613780678"
"72286","1984.9946275136776","1984.9946275136776","1984.9946275136776","1968.9010900522364","1968.9010900522364","1968.9010900522364"
"73055","1980.2971385801393","1980.2971385801393","1980.2971385801393","1970.109423977236","1970.109423977236","1970.109423977236"
"73824","2002.136490524329","2002.136490524329","2002.136490524329","1977.0442586513684","1977.0442586513684","1977.0442586513684"
"74593","1997.3363746999862","1997.3363746999862","1997.3363746999862","1981.3835427960107","1981.3835427960107","1981.3835427960107"
"75362","1987.4945584749846","1987.4945584749846","1987.4945584749846","1966.5827092607967","1966.5827092607967","1966.5827092607967"
"76131","1989.2219094332527","1989.2219094332527","1989.2219094332527","1983.1882119784527","1983.1882119784527","1983.1882119784527"
"76900","1997.6187794401712","1997.6187794401712","1997.6187794401712","1980.6273681852217","1980.6273681852217","1980.6273681852217"
"77669","1988.5643117125728","1988.5643117125728","1988.5643117125728","1986.3601229924063","1986.3601229924063","1986.3601229924063"
"78438","1996.7478242716918","1996.7478242716918","1996.7478242716918","1983.3049392023602","1983.3049392023602","1983.3049392023602"
"79207","2005.889804384246","2005.889804384246","2005.889804384246","1989.7201310394712","1989.7201310394712","1989.7201310394712"
"79976","2011.0025352114471","2011.0025352114471","2011.0025352114471","1989.6268937057457","1989.6268937057457","1989.6268937057457"
"80745","2000.1213159067543","2000.1213159067543","2000.1213159067543","1990.4171469053952","1990.4171469053952","1990.4171469053952"
"81514","2005.523382424177","2005.523382424177","2005.523382424177","1987.8691550862757","1987.8691550862757","1987.8691550862757"
"82283","2011.7626116161357","2011.7626116161357","2011.7626116161357","1991.5457247629768","1991.5457247629768","1991.5457247629768"
"83052","2002.7299795004144","2002.7299795004144","2002.7299795004144","1990.6960836006547","1990.6960836006547","1990.6960836006547"
"83821","2002.2121008257648","2002.2121008257648","2002.2121008257648","1996.1605192110453","1996.1605192110453","1996.1605192110453"
"84590","2004.4518724056934","2004.4518724056934","2004.4518724056934","1995.847480151999","1995.847480151999","1995.847480151999"
"85359","2008.3614568167457","2008.3614568167457","2008.3614568167457","1995.9850598409018","1995.9850598409018","1995.9850598409018"
"86128","2007.553953630219","2007.553953630219","2007.553953630219","2004.2935562373304","2004.2935562373304","2004.2935562373304"
"86897","2016.050502178814","2016.050502178814","2016.050502178814","1991.492194456023","1991.492194456023","1991.492194456023"
"87666","2010.4930425378736","2010.4930425378736","2010.4930425378736","2009.20989397345","2009.20989397345","2009.20989397345"
"88435","2011.8408033642488","2011.8408033642488","2011.8408033642488","2003.9811463111682","2003.9811463111682","2003.9811463111682"
"89204","2011.5013968617045","2011.5013968617045","2011.5013968617045","2009.6186089164298","2009.6186089164298","2009.6186089164298"
"89973","2016.4266554611975","2016.4266554611975","2016.4266554611975","2001.7773832669316","2001.7773832669316","2001.7773832669316"
"90742","2011.7801675732628","2011.7801675732628","2011.7801675732628","2012.345074637413","2012.345074637413","2012.345074637413"
"91511","2001.2887479541578","2001.2887479541578","2001.2887479541578","2012.2079816053586","2012.2079816053586","2012.2079816053586"
"92280","2022.3949370051057","2022.3949370051057","2022.3949370051057","2019.8852789199905","2019.8852789199905","2019.8852789199905"
"93049","2016.1350678931335","2016.1350678931335","2016.1350678931335","2013.5017121748829","2013.5017121748829","2013.5017121748829"
"93818","2031.335065814214","2031.335065814214","2031.335065814214","2007.0086931427531","2007.0086931427531","2007.0086931427531"
"94587","2021.1845607016237","2021.1845607016237","2021.1845607016237","2012.0177355547796","2012.0177355547796","2012.0177355547796"
"95356","2026.5034795505992","2026.5034795505992","2026.5034795505992","2010.003030289313","2010.003030289313","2010.003030289313"
"96125","2027.4421236458898","2027.4421236458898","2027.4421236458898","2003.7569918592121","2003.7569918592121","2003.7569918592121"
"96894","2027.3953854401525","2027.3953854401525","2027.3953854401525","2017.4224601112646","2017.4224601112646","2017.4224601112646"
"97663","2022.062775278225","2022.062775278225","2022.062775278225","2023.125798476331","2023.125798476331","2023.125798476331"
"98432","2030.4191933131947","2030.4191933131947","2030.4191933131947","2023.4596272820136","2023.4596272820136","2023.4596272820136"
"99201","2036.098220344522","2036.098220344522","2036.098220344522","2012.1160407464276","2012.1160407464276","2012.1160407464276"
"99970","2020.6083538568491","2020.6083538568491","2020.6083538568491","2019.298961937371","2019.298961937371","2019.298961937371"
"100739","2032.9938393021948","2032.9938393021948","2032.9938393021948","2024.9008750400878","2024.9008750400878","2024.9008750400878"
"101508","2022.3246638275373","2022.3246638275373","2022.3246638275373","2022.5632204111994","2022.5632204111994","2022.5632204111994"
"102277","2035.2867451926036","2035.2867451926036","2035.2867451926036","2024.7663148991007","2024.7663148991007","2024.7663148991007"
"103046","2041.0762323746412","2041.0762323746412","2041.0762323746412","2016.4421590929267","2016.4421590929267","2016.4421590929267"
"103815","2030.3406705333946","2030.3406705333946","2030.3406705333946","2024.2360281896174","2024.2360281896174","2024.2360281896174"
"104584","2044.197069014373","2044.197069014373","2044.197069014373","2021.3655028833002","2021.3655028833002","2021.3655028833002"
"105353","2033.5542702681864","2033.5542702681864","2033.5542702681864","2017.7820423324795","2017.7820423324795","2017.7820423324795"
"106122","2034.1872797785445","2034.1872797785445","2034.1872797785445","2026.9983480046296","2026.9983480046296","2026.9983480046296"
"106891","2040.3493172103363","2040.3493172103363","2040.3493172103363","2030.9631839041892","2030.9631839041892","2030.9631839041892"
"107660","2035.4929006695334","2035.4929006695334","2035.4929006695334","2029.2720410392278","2029.2720410392278","2029.2720410392278"
"108429","2032.2819590881625","2032.2819590881625","2032.2819590881625","2025.9813024654172","2025.9813024654172","2025.9813024654172"
"109198","2036.345799166789","2036.345799166789","2036.345799166789","2034.6133715263468","2034.6133715263468","2034.6133715263468"
"109967","2039.0266368459622","2039.0266368459622","2039.0266368459622","2022.6005189412783","2022.6005189412783","2022.6005189412783"
"110736","2035.6685763243572","2035.6685763243572","2035.6685763243572","2029.3470637966063","2029.3470637966063","2029.3470637966063"
"111505","2045.4739456397601","2045.4739456397601","2045.4739456397601","2033.658983945952","2033.658983945952","2033.658983945952"
"112274","2051.207242773489","2051.207242773489","2051.207242773489","2040.9623372670699","2040.9623372670699","2040.9623372670699"
"113043","2046.2107658430866","2046.2107658430866","2046.2107658430866","2033.319802187016","2033.319802187016","2033.319802187016"
"113812","2049.130976205854","2049.130976205854","2049.130976205854","2038.5722601721627","2038.5722601721627","2038.5722601721627"
"114581","2046.7822011476244","2046.7822011476244","2046.7822011476244","2052.5048830422966","2052.5048830422966","2052.5048830422966"
"115350","2045.7361118922659","2045.7361118922659","2045.7361118922659","2035.5232906125088","2035.5232906125088","2035.5232906125088"
"116119","2051.653368612466","2051.653368612466","2051.653368612466","2034.2188883185397","2034.2188883185397","2034.2188883185397"
"116888","2051.22359776916","2051.22359776916","2051.22359776916","2034.9081902870876","2034.9081902870876","2034.9081902870876"
"117657","2057.011365421624","2057.011365421624","2057.011365421624","2044.2757008201133","2044.2757008201133","2044.2757008201133"
"118426","2045.5540380253444","2045.5540380253444","2045.5540380253444","2046.1817973598324","2046.1817973598324","2046.1817973598324"
"119195","2055.5028909071593","2055.5028909071593","2055.5028909071593","2048.0708704724693","2048.0708704724693","2048.0708704724693"
"119964","2056.506777324912","2056.506777324912","2056.506777324912","2045.4437984139454","2045.4437984139454","2045.4437984139454"
"120733","2052.046025130936","2052.046025130936","2052.046025130936","2039.644778982265","2039.644778982265","2039.644778982265"
"121502","2065.5473841301928","2065.5473841301928","2065.5473841301928","2048.001237736963","2048.001237736963","2048.001237736963"
"122271","2044.8281208598487","2044.8281208598487","2044.8281208598487","2032.7190878418417","2032.7190878418417","2032.7190878418417"
"123040","2051.492617034644","2051.492617034644","2051.492617034644","2045.2120669652595","2045.2120669652595","2045.2120669652595"
"123809","2058.1818946189564","2058.1818946189564","2058.1818946189564","2047.8606790117024","2047.8606790117024","2047.8606790117024"
"124578","2067.9499093283785","2067.9499093283785","2067.9499093283785","2049.1460978946034","2049.1460978946034","2049.1460978946034"
"125347","2054.8554692080083","2054.8554692080083","2054.8554692080083","2037.3608984061857","2037.3608984061857","2037.3608984061857"
"126116","2059.6628458129007","2059.6628458129007","2059.6628458129007","2043.3593875678505","2043.3593875678505","2043.3593875678505"
"126885","2062.0285212864387","2062.0285212864387","2062.0285212864387","2052.0934234350348","2052.0934234350348","2052.0934234350348"
"127654","2061.5932946490498","2061.5932946490498","2061.5932946490498","2055.227591717809","2055.227591717809","2055.227591717809"
"128423","2050.341043471352","2050.341043471352","2050.341043471352","2052.9017165669616","2052.9017165669616","2052.9017165669616"
"129192","2057.8411088991465","2057.8411088991465","2057.8411088991465","2059.167457517851","2059.167457517851","2059.167457517851"
"129961","2052.129971356861","2052.129971356861","2052.129971356861","2056.734852422204","2056.734852422204","2056.734852422204"
"130730","2058.112477076682","2058.112477076682","2058.112477076682","2054.2326455307348","2054.2326455307348","2054.2326455307348"
"131499","2062.422744028168","2062.422744028168","2062.422744028168","2060.8869693111365","2060.8869693111365","2060.8869693111365"
"132268","2057.0354147043995","2057.0354147043995","2057.0354147043995","2057.296969535557","2057.296969535557","2057.296969535557"
"133037","2057.2775681803582","2057.2775681803582","2057.2775681803582","2052.015447293713","2052.015447293713","2052.015447293713"
"133806","2058.4639726060436","2058.4639726060436","2058.4639726060436","2061.4823336126574","2061.4823336126574","2061.4823336126574"
"134575","2058.148386513554","2058.148386513554","2058.148386513554","2049.1872359621466","2049.1872359621466","2049.1872359621466"
"135344","2072.7192528481255","2072.7192528481255","2072.7192528481255","2059.8147951625724","2059.8147951625724","2059.8147951625724"
"136113","2061.7793385763944","2061.7793385763944","2061.7793385763944","2056.224841865343","2056.224841865343","2056.224841865343"
"136882","2060.48959011427","2060.48959011427","2060.48959011427","2063.3755557568934","2063.3755557568934","2063.3755557568934"
"137651","2058.318866173428","2058.318866173428","2058.318866173428","2054.7148323375477","2054.7148323375477","2054.7148323375477"
"138420","2072.7260126901388","2072.7260126901388","2072.7260126901388","2065.930120001021","2065.930120001021","2065.930120001021"
"139189","2073.273436829242","2073.273436829242","2073.273436829242","2064.0928095875765","2064.0928095875765","2064.0928095875765"
"139958","2067.301576928274","2067.301576928274","2067.301576928274","2060.2603997003503","2060.2603997003503","2060.2603997003503"
"140727","2057.4098741641824","2057.4098741641824","2057.4098741641824","2056.7683210503546","2056.7683210503546","2056.7683210503546"
"141496","2076.366416218398","2076.366416218398","2076.366416218398","2058.3865968566242","2058.3865968566242","2058.3865968566242"
"142265","2070.840230663233","2070.840230663233","2070.840230663233","2053.948617504853","2053.948617504853","2053.948617504853"
"143034","2067.2507676742757","2067.2507676742757","2067.2507676742757","2065.044470474523","2065.044470474523","2065.044470474523"
"143803","2060.295076334586","2060.295076334586","2060.295076334586","2067.6498312765157","2067.6498312765157","2067.6498312765157"
"144572","2077.0984520576803","2077.0984520576803","2077.0984520576803","2064.410226471557","2064.410226471557","2064.410226471557"
"145341","2065.7435118800563","2065.7435118800563","2065.7435118800563","2068.9522538372003","2068.9522538372003","2068.9522538372003"
"146110","2062.2221737887235","2062.2221737887235","2062.2221737887235","2068.059858246178","2068.059858246178","2068.059858246178"
"146879","2077.2680645023975","2077.2680645023975","2077.2680645023975","2079.740032128649","2079.740032128649","2079.740032128649"
"147648","2080.9272826502115","2080.9272826502115","2080.9272826502115","2075.6068755425845","2075.6068755425845","2075.6068755425845"
"148417","2074.352102585547","2074.352102585547","2074.352102585547","2063.9106233752173","2063.9106233752173","2063.9106233752173"
"149186","2071.4086745140976","2071.4086745140976","2071.4086745140976","2071.6209924595933","2071.6209924595933","2071.6209924595933"
"149955","2065.9679897009173","2065.9679897009173","2065.9679897009173","2069.22428241545","2069.22428241545","2069.22428241545"
"150724","2076.546605424265","2076.546605424265","2076.546605424265","2064.37797510498","2064.37797510498","2064.37797510498"
"151493","2081.085214846526","2081.085214846526","2081.085214846526","2065.1521987995256","2065.1521987995256","2065.1521987995256"
"152262","2080.993527280883","2080.993527280883","2080.993527280883","2074.5703319354484","2074.5703319354484","2074.5703319354484"
"153031","2072.8929992949297","2072.8929992949297","2072.8929992949297","2069.7536500065244","2069.7536500065244","2069.7536500065244"
"153800","2086.132496500235","2086.132496500235","2086.132496500235","2063.9970201990986","2063.9970201990986","2063.9970201990986"
"154569","2077.7647033080852","2077.7647033080852","2077.7647033080852","2061.128239008701","2061.128239008701","2061.128239008701"
"155338","2081.096453495338","2081.096453495338","2081.096453495338","2069.705151773757","2069.705151773757","2069.705151773757"
"156107","2065.207441832225","2065.207441832225","2065.207441832225","2055.8868052572184","2055.8868052572184","2055.8868052572184"
"156876","2077.203008910522","2077.203008910522","2077.203008910522","2068.7540205502232","2068.7540205502232","2068.7540205502232"
"157645","2068.4165183199543","2068.4165183199543","2068.4165183199543","2074.4889493466967","2074.4889493466967","2074.4889493466967"
"158414","2080.644539413066","2080.644539413066","2080.644539413066","2074.123822791527","2074.123822791527","2074.123822791527"
"159183","2077.3280029509833","2077.3280029509833","2077.3280029509833","2079.5380442857977","2079.5380442857977","2079.5380442857977"
"159952","2076.4563208404397","2076.4563208404397","2076.4563208404397","2055.324647374631","2055.324647374631","2055.324647374631"
"160721","2076.3676990301587","2076.3676990301587","2076.3676990301587","2075.0199010072165","2075.0199010072165","2075.0199010072165"
"161490","2096.699387738582","2096.699387738582","2096.699387738582","2067.950215033792","2067.950215033792","2067.950215033792"
"162259","2077.79400431892","2077.79400431892","2077.79400431892","2080.472066617403","2080.472066617403","2080.472066617403"
"163028","2080.021863735426","2080.021863735426","2080.021863735426","2069.710931044713","2069.710931044713","2069.710931044713"
"163797","2080.345419468023","2080.345419468023","2080.345419468023","2073.6997846172403","2073.6997846172403","2073.6997846172403"
"164566","2078.499435728689","2078.499435728689","2078.499435728689","2076.281572949892","2076.281572949892","2076.281572949892"
"165335","2081.293983195756","2081.293983195756","2081.293983195756","2093.9185291670756","2093.9185291670756","2093.9185291670756"
"166104","2076.2478222650248","2076.2478222650248","2076.2478222650248","2080.203668684621","2080.203668684621","2080.203668684621"
"166873","2079.2564469939925","2079.2564469939925","2079.2564469939925","2073.262878037269","2073.262878037269","2073.262878037269"
"167642","2086.4180256440313","2086.4180256440313","2086.4180256440313","2085.859585463211","2085.859585463211","2085.859585463211"
"168411","2070.371423450559","2070.371423450559","2070.371423450559","2073.471636686511","2073.471636686511","2073.471636686511"
"169180","2073.933470908054","2073.933470908054","2073.933470908054","2081.03445642482","2081.03445642482","2081.03445642482"
"169949","2090.7280033777724","2090.7280033777724","2090.7280033777724","2080.323354798887","2080.323354798887","2080.323354798887"
"170718","2100.11139924238","2100.11139924238","2100.11139924238","2066.5197625327355","2066.5197625327355","2066.5197625327355"
"171487","2086.169103862583","2086.169103862583","2086.169103862583","2077.2736012550567","2077.2736012550567","2077.2736012550567"
"172256","2096.6226458772626","2096.6226458772626","2096.6226458772626","2088.626495410135","2088.626495410135","2088.626495410135"
"173025","2090.3210755527753","2090.3210755527753","2090.3210755527753","2094.046566818247","2094.046566818247","2094.046566818247"
"173794","2085.656443263142","2085.656443263142","2085.656443263142","2077.4561323897983","2077.4561323897983","2077.4561323897983"
"174563","2085.051931431341","2085.051931431341","2085.051931431341","2078.7109839965638","2078.7109839965638","2078.7109839965638"
"175332","2085.461872959884","2085.461872959884","2085.461872959884","2085.2958963362835","2085.2958963362835","2085.2958963362835"
"176101","2101.862904307916","2101.862904307916","2101.862904307916","2084.0259638037064","2084.0259638037064","2084.0259638037064"
"176870","2092.1659887117366","2092.1659887117366","2092.1659887117366","2092.4828259547826","2092.4828259547826","2092.4828259547826"
"177639","2089.31098002092","2089.31098002092","2089.31098002092","2083.532421322525","2083.532421322525","2083.532421322525"
