"Step","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700057249.2211816--dipoDroQ-clipaction-NocturneOp9No2 - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700057249.2211816--dipoDroQ-clipaction-NocturneOp9No2 - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700057249.2211816--dipoDroQ-clipaction-NocturneOp9No2 - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699883098.0656614--dipo-clipaction-NocturneOp9No2 - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699883098.0656614--dipo-clipaction-NocturneOp9No2 - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699883098.0656614--dipo-clipaction-NocturneOp9No2 - train/return__MAX"
"60751","2034.5311382791042","2034.5311382791042","2034.5311382791042","2004.8060299538163","2004.8060299538163","2004.8060299538163"
"61520","2032.725188693362","2032.725188693362","2032.725188693362","2012.185557759515","2012.185557759515","2012.185557759515"
"62289","2020.2670650181408","2020.2670650181408","2020.2670650181408","2012.2456665832888","2012.2456665832888","2012.2456665832888"
"63058","2034.106010001944","2034.106010001944","2034.106010001944","2009.9219064545723","2009.9219064545723","2009.9219064545723"
"63827","2032.573142243446","2032.573142243446","2032.573142243446","2006.65688275685","2006.65688275685","2006.65688275685"
"64596","2022.0726265466587","2022.0726265466587","2022.0726265466587","2016.6632712310936","2016.6632712310936","2016.6632712310936"
"65365","2037.554440844081","2037.554440844081","2037.554440844081","2017.2442596188805","2017.2442596188805","2017.2442596188805"
"66134","2031.3452668194197","2031.3452668194197","2031.3452668194197","2011.5858510065104","2011.5858510065104","2011.5858510065104"
"66903","2034.3497481071583","2034.3497481071583","2034.3497481071583","2022.6539378960301","2022.6539378960301","2022.6539378960301"
"67672","2032.2001948571708","2032.2001948571708","2032.2001948571708","2022.5695639442706","2022.5695639442706","2022.5695639442706"
"68441","2040.8462151228637","2040.8462151228637","2040.8462151228637","2014.8837854225071","2014.8837854225071","2014.8837854225071"
"69210","2038.8544803601662","2038.8544803601662","2038.8544803601662","2019.488129146969","2019.488129146969","2019.488129146969"
"69979","2051.8787123428715","2051.8787123428715","2051.8787123428715","2029.563802867037","2029.563802867037","2029.563802867037"
"70748","2029.3541078544376","2029.3541078544376","2029.3541078544376","2026.440537894257","2026.440537894257","2026.440537894257"
"71517","2028.7198973035531","2028.7198973035531","2028.7198973035531","2028.420436583734","2028.420436583734","2028.420436583734"
"72286","2045.0618495009146","2045.0618495009146","2045.0618495009146","2026.81680989411","2026.81680989411","2026.81680989411"
"73055","2038.9855475565141","2038.9855475565141","2038.9855475565141","2026.4011685031328","2026.4011685031328","2026.4011685031328"
"73824","2042.1709069274577","2042.1709069274577","2042.1709069274577","2028.8655160445887","2028.8655160445887","2028.8655160445887"
"74593","2050.286736767725","2050.286736767725","2050.286736767725","2024.4428334536326","2024.4428334536326","2024.4428334536326"
"75362","2048.8665879017653","2048.8665879017653","2048.8665879017653","2034.4084264720016","2034.4084264720016","2034.4084264720016"
"76131","2044.6439912136873","2044.6439912136873","2044.6439912136873","2035.076318200297","2035.076318200297","2035.076318200297"
"76900","2048.832761991526","2048.832761991526","2048.832761991526","2037.105552420655","2037.105552420655","2037.105552420655"
"77669","2054.4319973538254","2054.4319973538254","2054.4319973538254","2034.7901989233585","2034.7901989233585","2034.7901989233585"
"78438","2048.4713989325223","2048.4713989325223","2048.4713989325223","2042.581711659101","2042.581711659101","2042.581711659101"
"79207","2043.5801511829743","2043.5801511829743","2043.5801511829743","2041.873283055565","2041.873283055565","2041.873283055565"
"79976","2038.2812827668342","2038.2812827668342","2038.2812827668342","2043.397598032368","2043.397598032368","2043.397598032368"
"80745","2054.852701903695","2054.852701903695","2054.852701903695","2034.8777800477922","2034.8777800477922","2034.8777800477922"
"81514","2047.1987531655177","2047.1987531655177","2047.1987531655177","2041.5687425352864","2041.5687425352864","2041.5687425352864"
"82283","2057.3392485645913","2057.3392485645913","2057.3392485645913","2042.6361361462484","2042.6361361462484","2042.6361361462484"
"83052","2042.3099932923076","2042.3099932923076","2042.3099932923076","2042.105456989806","2042.105456989806","2042.105456989806"
"83821","2041.5642389954726","2041.5642389954726","2041.5642389954726","2041.4300943669914","2041.4300943669914","2041.4300943669914"
"84590","2041.378924389352","2041.378924389352","2041.378924389352","2045.2098905031871","2045.2098905031871","2045.2098905031871"
"85359","2034.407484071607","2034.407484071607","2034.407484071607","2041.5245816397673","2041.5245816397673","2041.5245816397673"
"86128","2056.7905959386376","2056.7905959386376","2056.7905959386376","2051.9265023721664","2051.9265023721664","2051.9265023721664"
"86897","2043.221337771994","2043.221337771994","2043.221337771994","2052.2174154078284","2052.2174154078284","2052.2174154078284"
"87666","2046.9976461837668","2046.9976461837668","2046.9976461837668","2046.2920202236671","2046.2920202236671","2046.2920202236671"
"88435","2056.7705139112577","2056.7705139112577","2056.7705139112577","2053.0296730837176","2053.0296730837176","2053.0296730837176"
"89204","2060.6763362583397","2060.6763362583397","2060.6763362583397","2053.892941080944","2053.892941080944","2053.892941080944"
"89973","2039.4565463092063","2039.4565463092063","2039.4565463092063","2048.5063970845463","2048.5063970845463","2048.5063970845463"
"90742","2046.4266303138409","2046.4266303138409","2046.4266303138409","2057.0422571121603","2057.0422571121603","2057.0422571121603"
"91511","2055.156367296478","2055.156367296478","2055.156367296478","2058.714790881188","2058.714790881188","2058.714790881188"
"92280","2046.152037094187","2046.152037094187","2046.152037094187","2058.641831441902","2058.641831441902","2058.641831441902"
"93049","2050.495052960176","2050.495052960176","2050.495052960176","2061.4491721026448","2061.4491721026448","2061.4491721026448"
"93818","2047.1592084768854","2047.1592084768854","2047.1592084768854","2060.7891751067277","2060.7891751067277","2060.7891751067277"
"94587","2057.406205136751","2057.406205136751","2057.406205136751","2057.8900996510097","2057.8900996510097","2057.8900996510097"
"95356","2055.4258058893183","2055.4258058893183","2055.4258058893183","2058.2663740426033","2058.2663740426033","2058.2663740426033"
"96125","2043.9971198232445","2043.9971198232445","2043.9971198232445","2066.730202897724","2066.730202897724","2066.730202897724"
"96894","2048.8456942117327","2048.8456942117327","2048.8456942117327","2065.6855981267563","2065.6855981267563","2065.6855981267563"
"97663","2045.21995232125","2045.21995232125","2045.21995232125","2061.331688943669","2061.331688943669","2061.331688943669"
"98432","2053.8424183294","2053.8424183294","2053.8424183294","2066.2224954923104","2066.2224954923104","2066.2224954923104"
"99201","2055.9102694704306","2055.9102694704306","2055.9102694704306","2064.9691732922042","2064.9691732922042","2064.9691732922042"
"99970","2049.276243212964","2049.276243212964","2049.276243212964","2051.778677189336","2051.778677189336","2051.778677189336"
"100739","2048.7512499890345","2048.7512499890345","2048.7512499890345","2073.7116171559574","2073.7116171559574","2073.7116171559574"
"101508","2046.2495491907403","2046.2495491907403","2046.2495491907403","2053.3344995324755","2053.3344995324755","2053.3344995324755"
"102277","2052.198470294846","2052.198470294846","2052.198470294846","2068.2899178531784","2068.2899178531784","2068.2899178531784"
"103046","2041.6862604823536","2041.6862604823536","2041.6862604823536","2070.0861794127422","2070.0861794127422","2070.0861794127422"
"103815","2028.0993277806865","2028.0993277806865","2028.0993277806865","2072.6761455165247","2072.6761455165247","2072.6761455165247"
"104584","2042.75525837186","2042.75525837186","2042.75525837186","2067.7735864240144","2067.7735864240144","2067.7735864240144"
"105353","2049.077204158452","2049.077204158452","2049.077204158452","2063.3972851975545","2063.3972851975545","2063.3972851975545"
"106122","2047.8708848375054","2047.8708848375054","2047.8708848375054","2074.9633208171726","2074.9633208171726","2074.9633208171726"
"106891","2067.0158696652957","2067.0158696652957","2067.0158696652957","2069.6641653181246","2069.6641653181246","2069.6641653181246"
"107660","2048.491859288841","2048.491859288841","2048.491859288841","2062.1740912603977","2062.1740912603977","2062.1740912603977"
"108429","2055.8516278893294","2055.8516278893294","2055.8516278893294","2079.943947499442","2079.943947499442","2079.943947499442"
"109198","2064.052204584713","2064.052204584713","2064.052204584713","2076.2414385200673","2076.2414385200673","2076.2414385200673"
"109967","2072.3529075564143","2072.3529075564143","2072.3529075564143","2076.5453434461333","2076.5453434461333","2076.5453434461333"
"110736","2040.403534891833","2040.403534891833","2040.403534891833","2077.3744723059335","2077.3744723059335","2077.3744723059335"
"111505","2063.417794306197","2063.417794306197","2063.417794306197","2069.9398256474256","2069.9398256474256","2069.9398256474256"
"112274","2040.1791533485907","2040.1791533485907","2040.1791533485907","2084.007707295047","2084.007707295047","2084.007707295047"
"113043","2049.2256937237294","2049.2256937237294","2049.2256937237294","2072.812209987715","2072.812209987715","2072.812209987715"
"113812","2064.283191450357","2064.283191450357","2064.283191450357","2079.863420591824","2079.863420591824","2079.863420591824"
"114581","2048.9236611223655","2048.9236611223655","2048.9236611223655","2073.4672363640507","2073.4672363640507","2073.4672363640507"
"115350","2048.8892873520517","2048.8892873520517","2048.8892873520517","2071.6651744295077","2071.6651744295077","2071.6651744295077"
"116119","2034.9250342298915","2034.9250342298915","2034.9250342298915","2082.64709140716","2082.64709140716","2082.64709140716"
"116888","2082.0560515388624","2082.0560515388624","2082.0560515388624","2085.002964724363","2085.002964724363","2085.002964724363"
"117657","2061.1366243642833","2061.1366243642833","2061.1366243642833","2073.979928586671","2073.979928586671","2073.979928586671"
"118426","2062.55952461154","2062.55952461154","2062.55952461154","2080.4025944478185","2080.4025944478185","2080.4025944478185"
"119195","2075.447737419302","2075.447737419302","2075.447737419302","2091.0922418979585","2091.0922418979585","2091.0922418979585"
"119964","2062.536477403834","2062.536477403834","2062.536477403834","2084.766742080642","2084.766742080642","2084.766742080642"
"120733","2072.071339981529","2072.071339981529","2072.071339981529","2082.2281648697376","2082.2281648697376","2082.2281648697376"
"121502","2059.702863459223","2059.702863459223","2059.702863459223","2076.5670127892536","2076.5670127892536","2076.5670127892536"
"122271","2056.803809974359","2056.803809974359","2056.803809974359","2082.8620013559184","2082.8620013559184","2082.8620013559184"
"123040","2054.5965424035276","2054.5965424035276","2054.5965424035276","2081.4636948792145","2081.4636948792145","2081.4636948792145"
"123809","2067.3126056750298","2067.3126056750298","2067.3126056750298","2085.7904107106856","2085.7904107106856","2085.7904107106856"
"124578","2046.704523927634","2046.704523927634","2046.704523927634","2091.238441544041","2091.238441544041","2091.238441544041"
"125347","2055.427677460405","2055.427677460405","2055.427677460405","2088.9438496047824","2088.9438496047824","2088.9438496047824"
"126116","2061.7804241239623","2061.7804241239623","2061.7804241239623","2088.883135483646","2088.883135483646","2088.883135483646"
"126885","2077.88140423128","2077.88140423128","2077.88140423128","2096.931522525441","2096.931522525441","2096.931522525441"
"127654","2053.4643880088015","2053.4643880088015","2053.4643880088015","2090.0532582054643","2090.0532582054643","2090.0532582054643"
"128423","2066.733864044938","2066.733864044938","2066.733864044938","2090.459511135468","2090.459511135468","2090.459511135468"
"129192","2052.4873736728046","2052.4873736728046","2052.4873736728046","2093.9243182458576","2093.9243182458576","2093.9243182458576"
"129961","2071.3046491330424","2071.3046491330424","2071.3046491330424","2091.2010615774375","2091.2010615774375","2091.2010615774375"
"130730","2060.5699537391665","2060.5699537391665","2060.5699537391665","2093.6964628378887","2093.6964628378887","2093.6964628378887"
"131499","2067.3027395739464","2067.3027395739464","2067.3027395739464","2093.1371977571002","2093.1371977571002","2093.1371977571002"
"132268","2058.341497978708","2058.341497978708","2058.341497978708","2086.4939864346734","2086.4939864346734","2086.4939864346734"
"133037","2063.6277742287125","2063.6277742287125","2063.6277742287125","2102.161381489446","2102.161381489446","2102.161381489446"
"133806","2063.4278062104872","2063.4278062104872","2063.4278062104872","2088.9981625050486","2088.9981625050486","2088.9981625050486"
"134575","2071.6012141737183","2071.6012141737183","2071.6012141737183","2086.575453999373","2086.575453999373","2086.575453999373"
"135344","2055.172543400028","2055.172543400028","2055.172543400028","2098.949085823706","2098.949085823706","2098.949085823706"
"136113","2057.021086109343","2057.021086109343","2057.021086109343","2091.7703285291554","2091.7703285291554","2091.7703285291554"
"136882","2077.542606020428","2077.542606020428","2077.542606020428","2083.679543425134","2083.679543425134","2083.679543425134"
"137651","2058.1698861040477","2058.1698861040477","2058.1698861040477","2088.8853634672523","2088.8853634672523","2088.8853634672523"
"138420","2042.4834429272978","2042.4834429272978","2042.4834429272978","2095.259837841163","2095.259837841163","2095.259837841163"
"139189","2067.496300442024","2067.496300442024","2067.496300442024","2104.622965437439","2104.622965437439","2104.622965437439"
"139958","2084.3995446095587","2084.3995446095587","2084.3995446095587","2091.5325252316593","2091.5325252316593","2091.5325252316593"
"140727","2082.180366436467","2082.180366436467","2082.180366436467","2107.841534785921","2107.841534785921","2107.841534785921"
"141496","2054.8193310117235","2054.8193310117235","2054.8193310117235","2105.2550389655703","2105.2550389655703","2105.2550389655703"
"142265","2067.5596383355046","2067.5596383355046","2067.5596383355046","2106.755441477466","2106.755441477466","2106.755441477466"
"143034","2056.022931320842","2056.022931320842","2056.022931320842","2108.211487042134","2108.211487042134","2108.211487042134"
"143803","2062.6339982103264","2062.6339982103264","2062.6339982103264","2108.405195710724","2108.405195710724","2108.405195710724"
"144572","2065.029580877035","2065.029580877035","2065.029580877035","2100.199979805423","2100.199979805423","2100.199979805423"
"145341","2059.061183799751","2059.061183799751","2059.061183799751","2102.1761387044885","2102.1761387044885","2102.1761387044885"
"146110","2063.556570545315","2063.556570545315","2063.556570545315","2095.388873269362","2095.388873269362","2095.388873269362"
"146879","2078.778694419619","2078.778694419619","2078.778694419619","2113.9477831792024","2113.9477831792024","2113.9477831792024"
"147648","2075.256369168335","2075.256369168335","2075.256369168335","2099.48105056925","2099.48105056925","2099.48105056925"
"148417","2058.522301778248","2058.522301778248","2058.522301778248","2113.776201784303","2113.776201784303","2113.776201784303"
"149186","2077.2873405094","2077.2873405094","2077.2873405094","2115.7606456464805","2115.7606456464805","2115.7606456464805"
"149955","2065.754312820996","2065.754312820996","2065.754312820996","2104.885916813111","2104.885916813111","2104.885916813111"
"150724","2059.254844491723","2059.254844491723","2059.254844491723","2104.758488974916","2104.758488974916","2104.758488974916"
"151493","2048.695612405099","2048.695612405099","2048.695612405099","2113.5712150167356","2113.5712150167356","2113.5712150167356"
"152262","2063.5626906324374","2063.5626906324374","2063.5626906324374","2103.149887776711","2103.149887776711","2103.149887776711"
"153031","2054.912041376958","2054.912041376958","2054.912041376958","2114.2829398010927","2114.2829398010927","2114.2829398010927"
"153800","2082.833677272442","2082.833677272442","2082.833677272442","2105.368610752737","2105.368610752737","2105.368610752737"
"154569","2068.8954983977997","2068.8954983977997","2068.8954983977997","2114.964837055818","2114.964837055818","2114.964837055818"
"155338","2069.128036861138","2069.128036861138","2069.128036861138","2113.5693684799407","2113.5693684799407","2113.5693684799407"
"156107","2082.6982791411324","2082.6982791411324","2082.6982791411324","2107.3248509855403","2107.3248509855403","2107.3248509855403"
"156876","2053.365659443954","2053.365659443954","2053.365659443954","2111.017635971848","2111.017635971848","2111.017635971848"
"157645","2063.4649753532644","2063.4649753532644","2063.4649753532644","2113.4107964247482","2113.4107964247482","2113.4107964247482"
"158414","2079.599675512125","2079.599675512125","2079.599675512125","2109.3572839569597","2109.3572839569597","2109.3572839569597"
"159183","2062.2073930654387","2062.2073930654387","2062.2073930654387","2121.350160042874","2121.350160042874","2121.350160042874"
"159952","2059.923406463729","2059.923406463729","2059.923406463729","2116.7650066579145","2116.7650066579145","2116.7650066579145"
"160721","2065.9445500627335","2065.9445500627335","2065.9445500627335","2116.356458295579","2116.356458295579","2116.356458295579"
"161490","2051.985079133617","2051.985079133617","2051.985079133617","2110.706315014391","2110.706315014391","2110.706315014391"
"162259","2060.6186982852428","2060.6186982852428","2060.6186982852428","2114.6191798053187","2114.6191798053187","2114.6191798053187"
"163028","2100.711934055331","2100.711934055331","2100.711934055331","2111.307594431886","2111.307594431886","2111.307594431886"
"163797","2071.38192467891","2071.38192467891","2071.38192467891","2123.7137161356795","2123.7137161356795","2123.7137161356795"
"164566","2073.2563235119956","2073.2563235119956","2073.2563235119956","2121.789036462765","2121.789036462765","2121.789036462765"
"165335","2057.4170199826453","2057.4170199826453","2057.4170199826453","2119.9077183736845","2119.9077183736845","2119.9077183736845"
"166104","2072.1382536774163","2072.1382536774163","2072.1382536774163","2114.920261663273","2114.920261663273","2114.920261663273"
"166873","2071.9643226745857","2071.9643226745857","2071.9643226745857","2124.342933802964","2124.342933802964","2124.342933802964"
"167642","2086.150012245922","2086.150012245922","2086.150012245922","2114.2976968477137","2114.2976968477137","2114.2976968477137"
"168411","2079.994402317607","2079.994402317607","2079.994402317607","2121.3335912110724","2121.3335912110724","2121.3335912110724"
"169180","2073.435629101732","2073.435629101732","2073.435629101732","2123.5112305594125","2123.5112305594125","2123.5112305594125"
"169949","2064.894796294691","2064.894796294691","2064.894796294691","2125.8192047661682","2125.8192047661682","2125.8192047661682"
"170718","2053.6373941173156","2053.6373941173156","2053.6373941173156","2117.134614196411","2117.134614196411","2117.134614196411"
"171487","2057.3682313472755","2057.3682313472755","2057.3682313472755","2119.0553584373083","2119.0553584373083","2119.0553584373083"
"172256","2060.4547295226616","2060.4547295226616","2060.4547295226616","2114.851824784224","2114.851824784224","2114.851824784224"
"173025","2073.560110996918","2073.560110996918","2073.560110996918","2123.329060153285","2123.329060153285","2123.329060153285"
"173794","2078.662467854503","2078.662467854503","2078.662467854503","2118.257947803041","2118.257947803041","2118.257947803041"
"174563","2092.567944280758","2092.567944280758","2092.567944280758","2124.9684468804753","2124.9684468804753","2124.9684468804753"
"175332","2079.26535979757","2079.26535979757","2079.26535979757","2126.6908828274595","2126.6908828274595","2126.6908828274595"
"176101","2073.131260700216","2073.131260700216","2073.131260700216","2125.8765651763333","2125.8765651763333","2125.8765651763333"
"176870","2074.6788093113178","2074.6788093113178","2074.6788093113178","2127.7318486181716","2127.7318486181716","2127.7318486181716"
"177639","2054.1031215645107","2054.1031215645107","2054.1031215645107","2125.967612287586","2125.967612287586","2125.967612287586"
"178408","2072.1056564807973","2072.1056564807973","2072.1056564807973","2124.1349871191724","2124.1349871191724","2124.1349871191724"
