"Step","RoboPianist-repertoire-150-NocturneOp9No2-v0__200__1700082506 - train/return","RoboPianist-repertoire-150-NocturneOp9No2-v0__200__1700082506 - train/return__MIN","RoboPianist-repertoire-150-NocturneOp9No2-v0__200__1700082506 - train/return__MAX","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700045843__test - train/return","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700045843__test - train/return__MIN","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700045843__test - train/return__MAX","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700035476 - train/return","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700035476 - train/return__MIN","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700035476 - train/return__MAX"
"8459","125.77205615964569","125.77205615964569","125.77205615964569","3.328560063800424","3.328560063800424","3.328560063800424","167.70197062595642","167.70197062595642","167.70197062595642"
"9228","104.64952235523761","104.64952235523761","104.64952235523761","92.5219037039992","92.5219037039992","92.5219037039992","219.1830206401344","219.1830206401344","219.1830206401344"
"9997","150.79524813583458","150.79524813583458","150.79524813583458","71.30656376093425","71.30656376093425","71.30656376093425","216.55968305979087","216.55968305979087","216.55968305979087"
"10766","178.20501981959245","178.20501981959245","178.20501981959245","162.05714205409146","162.05714205409146","162.05714205409146","199.99103531136757","199.99103531136757","199.99103531136757"
"11535","289.79292116830584","289.79292116830584","289.79292116830584","201.2362112630776","201.2362112630776","201.2362112630776","202.94168696985085","202.94168696985085","202.94168696985085"
"12304","243.41473617872424","243.41473617872424","243.41473617872424","222.08560768178444","222.08560768178444","222.08560768178444","185.66761097495672","185.66761097495672","185.66761097495672"
"13073","339.5754623318215","339.5754623318215","339.5754623318215","189.60422795016973","189.60422795016973","189.60422795016973","136.16609931673645","136.16609931673645","136.16609931673645"
"13842","358.51381812082224","358.51381812082224","358.51381812082224","243.74156411313953","243.74156411313953","243.74156411313953","158.15108168532984","158.15108168532984","158.15108168532984"
"14611","390.60132309536937","390.60132309536937","390.60132309536937","305.2397425347001","305.2397425347001","305.2397425347001","229.0161048531211","229.0161048531211","229.0161048531211"
"15380","441.8075397406013","441.8075397406013","441.8075397406013","362.0520476808706","362.0520476808706","362.0520476808706","287.80721418483813","287.80721418483813","287.80721418483813"
"16149","465.5869487301595","465.5869487301595","465.5869487301595","400.59186920948844","400.59186920948844","400.59186920948844","356.51321462325177","356.51321462325177","356.51321462325177"
"16918","520.4686150780351","520.4686150780351","520.4686150780351","337.2036595154952","337.2036595154952","337.2036595154952","311.3052519224627","311.3052519224627","311.3052519224627"
"17687","542.6898443139805","542.6898443139805","542.6898443139805","393.1338625108535","393.1338625108535","393.1338625108535","347.8464705588698","347.8464705588698","347.8464705588698"
"18456","609.6120376077602","609.6120376077602","609.6120376077602","446.3044852830076","446.3044852830076","446.3044852830076","426.71571815043455","426.71571815043455","426.71571815043455"
"19225","620.2612570533784","620.2612570533784","620.2612570533784","463.76332006256456","463.76332006256456","463.76332006256456","399.92689449272046","399.92689449272046","399.92689449272046"
"19994","597.6165432507794","597.6165432507794","597.6165432507794","416.0017288967146","416.0017288967146","416.0017288967146","420.4044444315255","420.4044444315255","420.4044444315255"
"20763","610.3744215296832","610.3744215296832","610.3744215296832","525.425537462723","525.425537462723","525.425537462723","495.8087603700801","495.8087603700801","495.8087603700801"
"21532","646.8531788492326","646.8531788492326","646.8531788492326","456.24183998086653","456.24183998086653","456.24183998086653","449.5423780983303","449.5423780983303","449.5423780983303"
"22301","670.149048715103","670.149048715103","670.149048715103","518.09800656348","518.09800656348","518.09800656348","508.1406728214024","508.1406728214024","508.1406728214024"
"23070","652.3776079974747","652.3776079974747","652.3776079974747","536.6872824698901","536.6872824698901","536.6872824698901","513.1813070837708","513.1813070837708","513.1813070837708"
"23839","655.4572539710648","655.4572539710648","655.4572539710648","610.6245123814333","610.6245123814333","610.6245123814333","553.9967163102482","553.9967163102482","553.9967163102482"
"24608","692.518707540294","692.518707540294","692.518707540294","583.6826340022674","583.6826340022674","583.6826340022674","527.6555325625039","527.6555325625039","527.6555325625039"
"25377","702.4244490121081","702.4244490121081","702.4244490121081","585.9952235917909","585.9952235917909","585.9952235917909","546.00517941898","546.00517941898","546.00517941898"
"26146","673.7441538567074","673.7441538567074","673.7441538567074","555.4618293997199","555.4618293997199","555.4618293997199","587.4749210329009","587.4749210329009","587.4749210329009"
"26915","670.878991749622","670.878991749622","670.878991749622","602.7126743849282","602.7126743849282","602.7126743849282","601.6129378456909","601.6129378456909","601.6129378456909"
"27684","674.0177141873562","674.0177141873562","674.0177141873562","641.0338674574906","641.0338674574906","641.0338674574906","641.5494799920621","641.5494799920621","641.5494799920621"
"28453","691.1665804594314","691.1665804594314","691.1665804594314","673.6694482371367","673.6694482371367","673.6694482371367","663.3661102434274","663.3661102434274","663.3661102434274"
"29222","761.6035292049545","761.6035292049545","761.6035292049545","683.3104856961188","683.3104856961188","683.3104856961188","642.8058251371792","642.8058251371792","642.8058251371792"
"29991","783.3193053692547","783.3193053692547","783.3193053692547","693.4575790141121","693.4575790141121","693.4575790141121","686.6848165942135","686.6848165942135","686.6848165942135"
"30760","852.8896442464645","852.8896442464645","852.8896442464645","680.7952733476045","680.7952733476045","680.7952733476045","667.9631011324309","667.9631011324309","667.9631011324309"
"31529","783.0018953104816","783.0018953104816","783.0018953104816","709.3333353970825","709.3333353970825","709.3333353970825","653.7529256495266","653.7529256495266","653.7529256495266"
"32298","822.5591686047527","822.5591686047527","822.5591686047527","733.818238286402","733.818238286402","733.818238286402","705.5476154616548","705.5476154616548","705.5476154616548"
"33067","810.9584628808665","810.9584628808665","810.9584628808665","702.1018403884708","702.1018403884708","702.1018403884708","683.3053623846112","683.3053623846112","683.3053623846112"
"33836","839.980031854803","839.980031854803","839.980031854803","751.2663355199786","751.2663355199786","751.2663355199786","708.8239719055201","708.8239719055201","708.8239719055201"
"34605","928.7856397997264","928.7856397997264","928.7856397997264","822.1877972473857","822.1877972473857","822.1877972473857","743.7419226897766","743.7419226897766","743.7419226897766"
"35374","902.2354882893297","902.2354882893297","902.2354882893297","816.7666429148654","816.7666429148654","816.7666429148654","699.2111801325804","699.2111801325804","699.2111801325804"
"36143","899.2453470928212","899.2453470928212","899.2453470928212","822.1720087441593","822.1720087441593","822.1720087441593","745.884277812672","745.884277812672","745.884277812672"
"36912","932.6710339222112","932.6710339222112","932.6710339222112","816.8725696561092","816.8725696561092","816.8725696561092","733.7058626606015","733.7058626606015","733.7058626606015"
"37681","865.4891770042054","865.4891770042054","865.4891770042054","829.0825298624733","829.0825298624733","829.0825298624733","750.4115119282204","750.4115119282204","750.4115119282204"
"38450","896.153971343257","896.153971343257","896.153971343257","816.3826090358071","816.3826090358071","816.3826090358071","737.6821201236341","737.6821201236341","737.6821201236341"
"39219","883.1909222302319","883.1909222302319","883.1909222302319","804.5908549843723","804.5908549843723","804.5908549843723","723.366510725452","723.366510725452","723.366510725452"
"39988","923.2365211381241","923.2365211381241","923.2365211381241","834.576625718505","834.576625718505","834.576625718505","738.933716380027","738.933716380027","738.933716380027"
"40757","923.1600575436358","923.1600575436358","923.1600575436358","835.8517600302787","835.8517600302787","835.8517600302787","781.0212052768791","781.0212052768791","781.0212052768791"
"41526","972.2422181771885","972.2422181771885","972.2422181771885","833.0783448451352","833.0783448451352","833.0783448451352","793.3657725867848","793.3657725867848","793.3657725867848"
"42295","796.3345673887762","796.3345673887762","796.3345673887762","850.1081088580095","850.1081088580095","850.1081088580095","832.8883911402936","832.8883911402936","832.8883911402936"
"43064","1014.301534146823","1014.301534146823","1014.301534146823","834.2441317593822","834.2441317593822","834.2441317593822","814.1040291324542","814.1040291324542","814.1040291324542"
"43833","987.2804146726356","987.2804146726356","987.2804146726356","817.9462001953971","817.9462001953971","817.9462001953971","802.957424650788","802.957424650788","802.957424650788"
"44602","1010.3520976583276","1010.3520976583276","1010.3520976583276","822.3017454245687","822.3017454245687","822.3017454245687","839.198065514663","839.198065514663","839.198065514663"
"45371","997.3004311561901","997.3004311561901","997.3004311561901","821.3435743368756","821.3435743368756","821.3435743368756","859.271142178175","859.271142178175","859.271142178175"
"46140","986.0026393017133","986.0026393017133","986.0026393017133","879.9684705894578","879.9684705894578","879.9684705894578","882.5395599805145","882.5395599805145","882.5395599805145"
"46909","967.3459654312321","967.3459654312321","967.3459654312321","895.5751571226762","895.5751571226762","895.5751571226762","871.3112091360039","871.3112091360039","871.3112091360039"
"47678","1000.1927933424888","1000.1927933424888","1000.1927933424888","854.4767911433829","854.4767911433829","854.4767911433829","865.433746788272","865.433746788272","865.433746788272"
"48447","1051.2722235392625","1051.2722235392625","1051.2722235392625","871.0060601695005","871.0060601695005","871.0060601695005","858.6751082173698","858.6751082173698","858.6751082173698"
"49216","1070.3178865339692","1070.3178865339692","1070.3178865339692","825.0003451022267","825.0003451022267","825.0003451022267","867.9589796494183","867.9589796494183","867.9589796494183"
"49985","1089.7017847844538","1089.7017847844538","1089.7017847844538","891.4799497297952","891.4799497297952","891.4799497297952","901.6806908860248","901.6806908860248","901.6806908860248"
"50754","1124.1874722718444","1124.1874722718444","1124.1874722718444","917.1421984937188","917.1421984937188","917.1421984937188","907.1041089567982","907.1041089567982","907.1041089567982"
"51523","1117.370079813854","1117.370079813854","1117.370079813854","888.0206264944435","888.0206264944435","888.0206264944435","892.2565808786574","892.2565808786574","892.2565808786574"
"52292","1158.863993949259","1158.863993949259","1158.863993949259","923.0741040648041","923.0741040648041","923.0741040648041","914.0125551181025","914.0125551181025","914.0125551181025"
"53061","1143.8966335089524","1143.8966335089524","1143.8966335089524","926.7002936254033","926.7002936254033","926.7002936254033","921.3797041020648","921.3797041020648","921.3797041020648"
"53830","1172.0101700197908","1172.0101700197908","1172.0101700197908","907.9204316290794","907.9204316290794","907.9204316290794","920.3995358534268","920.3995358534268","920.3995358534268"
"54599","1155.6561674389752","1155.6561674389752","1155.6561674389752","934.2499970370249","934.2499970370249","934.2499970370249","960.2782565004336","960.2782565004336","960.2782565004336"
"55368","1138.4167799402217","1138.4167799402217","1138.4167799402217","948.4960258259005","948.4960258259005","948.4960258259005","966.3282287401806","966.3282287401806","966.3282287401806"
"56137","1168.2299114372543","1168.2299114372543","1168.2299114372543","968.6585260197647","968.6585260197647","968.6585260197647","957.206991099694","957.206991099694","957.206991099694"
"56906","1136.852942998959","1136.852942998959","1136.852942998959","940.8103568090459","940.8103568090459","940.8103568090459","931.0736168198148","931.0736168198148","931.0736168198148"
"57675","1157.5340137389828","1157.5340137389828","1157.5340137389828","960.7345649688097","960.7345649688097","960.7345649688097","898.9193822214909","898.9193822214909","898.9193822214909"
"58444","1146.35645793871","1146.35645793871","1146.35645793871","972.1644818535797","972.1644818535797","972.1644818535797","903.4124425175988","903.4124425175988","903.4124425175988"
"59213","1135.889156718905","1135.889156718905","1135.889156718905","972.4044428277265","972.4044428277265","972.4044428277265","830.4645785681008","830.4645785681008","830.4645785681008"
"59982","1138.8535296348166","1138.8535296348166","1138.8535296348166","975.1506347848241","975.1506347848241","975.1506347848241","891.9287610874582","891.9287610874582","891.9287610874582"
"60751","1155.051481495105","1155.051481495105","1155.051481495105","1005.0867380798562","1005.0867380798562","1005.0867380798562","901.3527825567726","901.3527825567726","901.3527825567726"
"61520","1177.5396438667485","1177.5396438667485","1177.5396438667485","1019.7595039843922","1019.7595039843922","1019.7595039843922","847.562811844125","847.562811844125","847.562811844125"
"62289","1165.6627863184176","1165.6627863184176","1165.6627863184176","1029.2951577862505","1029.2951577862505","1029.2951577862505","882.5118864978276","882.5118864978276","882.5118864978276"
"63058","1170.4876667247975","1170.4876667247975","1170.4876667247975","1023.6200135218317","1023.6200135218317","1023.6200135218317","899.0656493261608","899.0656493261608","899.0656493261608"
"63827","1161.9752500383424","1161.9752500383424","1161.9752500383424","1030.324982626162","1030.324982626162","1030.324982626162","917.879800299563","917.879800299563","917.879800299563"
"64596","1164.2818831294296","1164.2818831294296","1164.2818831294296","1022.6788474002244","1022.6788474002244","1022.6788474002244","917.2581228169283","917.2581228169283","917.2581228169283"
"65365","1170.5514709383021","1170.5514709383021","1170.5514709383021","993.0823446414171","993.0823446414171","993.0823446414171","948.3445452359131","948.3445452359131","948.3445452359131"
"66134","1119.423951676838","1119.423951676838","1119.423951676838","1024.499655593181","1024.499655593181","1024.499655593181","959.0655948804362","959.0655948804362","959.0655948804362"
"66903","1133.1547741220518","1133.1547741220518","1133.1547741220518","1030.6900133814431","1030.6900133814431","1030.6900133814431","1008.0872561717457","1008.0872561717457","1008.0872561717457"
"67672","1089.301516248083","1089.301516248083","1089.301516248083","1042.3020862026046","1042.3020862026046","1042.3020862026046","1006.2337858198783","1006.2337858198783","1006.2337858198783"
"68441","1111.8838653247249","1111.8838653247249","1111.8838653247249","1031.8784603928054","1031.8784603928054","1031.8784603928054","992.5083267398392","992.5083267398392","992.5083267398392"
"69210","1040.3038053303185","1040.3038053303185","1040.3038053303185","1046.4417475353112","1046.4417475353112","1046.4417475353112","1039.651564234076","1039.651564234076","1039.651564234076"
"69979","1057.721950766798","1057.721950766798","1057.721950766798","1070.0605858521171","1070.0605858521171","1070.0605858521171","1030.1048487307887","1030.1048487307887","1030.1048487307887"
"70748","1016.2710974881281","1016.2710974881281","1016.2710974881281","1032.3690258251954","1032.3690258251954","1032.3690258251954","999.9642546088595","999.9642546088595","999.9642546088595"
"71517","1058.068809368172","1058.068809368172","1058.068809368172","1027.7604251012235","1027.7604251012235","1027.7604251012235","1037.1381531302056","1037.1381531302056","1037.1381531302056"
"72286","1064.6545309930339","1064.6545309930339","1064.6545309930339","1036.7339678692063","1036.7339678692063","1036.7339678692063","1051.7426642651435","1051.7426642651435","1051.7426642651435"
"73055","1038.0272282198464","1038.0272282198464","1038.0272282198464","1018.6825368305999","1018.6825368305999","1018.6825368305999","1020.8803472056496","1020.8803472056496","1020.8803472056496"
"73824","1103.6918448846864","1103.6918448846864","1103.6918448846864","1041.8224874938771","1041.8224874938771","1041.8224874938771","1036.3488937121326","1036.3488937121326","1036.3488937121326"
"74593","1060.1134271644385","1060.1134271644385","1060.1134271644385","1058.913178169408","1058.913178169408","1058.913178169408","1036.914280521899","1036.914280521899","1036.914280521899"
"75362","1083.542502864852","1083.542502864852","1083.542502864852","1055.312059025737","1055.312059025737","1055.312059025737","1046.6860480060275","1046.6860480060275","1046.6860480060275"
"76131","1023.8637848037679","1023.8637848037679","1023.8637848037679","1072.7105870672017","1072.7105870672017","1072.7105870672017","1064.934163550121","1064.934163550121","1064.934163550121"
"76900","962.158124011072","962.158124011072","962.158124011072","1078.616383995039","1078.616383995039","1078.616383995039","1059.8174833868518","1059.8174833868518","1059.8174833868518"
"77669","944.3717338093094","944.3717338093094","944.3717338093094","1054.8589548350394","1054.8589548350394","1054.8589548350394","1044.6218079024877","1044.6218079024877","1044.6218079024877"
"78438","961.0841764477617","961.0841764477617","961.0841764477617","1086.8007554292224","1086.8007554292224","1086.8007554292224","1075.9628027311546","1075.9628027311546","1075.9628027311546"
"79207","983.3859757571972","983.3859757571972","983.3859757571972","1088.8113457219965","1088.8113457219965","1088.8113457219965","1063.2776872565137","1063.2776872565137","1063.2776872565137"
"79976","923.8608672217993","923.8608672217993","923.8608672217993","1090.574214113383","1090.574214113383","1090.574214113383","1072.052878399511","1072.052878399511","1072.052878399511"
"80745","922.8916593811697","922.8916593811697","922.8916593811697","1051.6154819941296","1051.6154819941296","1051.6154819941296","1037.151065465208","1037.151065465208","1037.151065465208"
"81514","958.7606465775438","958.7606465775438","958.7606465775438","1031.9452733153569","1031.9452733153569","1031.9452733153569","1051.0820183964013","1051.0820183964013","1051.0820183964013"
"82283","939.6382470370091","939.6382470370091","939.6382470370091","1005.2679407045132","1005.2679407045132","1005.2679407045132","1055.8712197151876","1055.8712197151876","1055.8712197151876"
"83052","931.8080050372857","931.8080050372857","931.8080050372857","1013.8398703409097","1013.8398703409097","1013.8398703409097","1031.6632557046103","1031.6632557046103","1031.6632557046103"
"83821","969.2063130064087","969.2063130064087","969.2063130064087","1041.510105328183","1041.510105328183","1041.510105328183","1039.5665323804726","1039.5665323804726","1039.5665323804726"
"84590","930.5758503393362","930.5758503393362","930.5758503393362","1025.7809508164282","1025.7809508164282","1025.7809508164282","1053.865394709013","1053.865394709013","1053.865394709013"
"85359","997.9409164778797","997.9409164778797","997.9409164778797","1018.2426313901863","1018.2426313901863","1018.2426313901863","1081.156396741087","1081.156396741087","1081.156396741087"
"86128","964.6346080371836","964.6346080371836","964.6346080371836","949.4095499424476","949.4095499424476","949.4095499424476","1069.3752104121654","1069.3752104121654","1069.3752104121654"
"86897","997.6338195050946","997.6338195050946","997.6338195050946","941.7082286526388","941.7082286526388","941.7082286526388","1087.9753204155686","1087.9753204155686","1087.9753204155686"
"87666","985.4525894386132","985.4525894386132","985.4525894386132","1025.2387203872936","1025.2387203872936","1025.2387203872936","1080.9182848649223","1080.9182848649223","1080.9182848649223"
"88435","954.013766100045","954.013766100045","954.013766100045","1069.779054316147","1069.779054316147","1069.779054316147","1088.2969086488822","1088.2969086488822","1088.2969086488822"
"89204","941.0557641584601","941.0557641584601","941.0557641584601","1080.1675798552208","1080.1675798552208","1080.1675798552208","1099.6860976205041","1099.6860976205041","1099.6860976205041"
"89973","995.427903778815","995.427903778815","995.427903778815","1070.124329513229","1070.124329513229","1070.124329513229","1085.803173557188","1085.803173557188","1085.803173557188"
"90742","920.2954420493143","920.2954420493143","920.2954420493143","1055.534906349918","1055.534906349918","1055.534906349918","1090.1613856083554","1090.1613856083554","1090.1613856083554"
"91511","911.9922781108596","911.9922781108596","911.9922781108596","1066.7046380245697","1066.7046380245697","1066.7046380245697","1106.818893985675","1106.818893985675","1106.818893985675"
"92280","941.1187882287272","941.1187882287272","941.1187882287272","1113.3940263782772","1113.3940263782772","1113.3940263782772","1115.9775489158892","1115.9775489158892","1115.9775489158892"
"93049","950.2378174119265","950.2378174119265","950.2378174119265","1100.2766104869381","1100.2766104869381","1100.2766104869381","1108.5930356688773","1108.5930356688773","1108.5930356688773"
"93818","939.3344002158451","939.3344002158451","939.3344002158451","1126.8398417114934","1126.8398417114934","1126.8398417114934","1108.0078558636199","1108.0078558636199","1108.0078558636199"
"94587","848.7387573635231","848.7387573635231","848.7387573635231","1100.445903795794","1100.445903795794","1100.445903795794","1110.8439375168668","1110.8439375168668","1110.8439375168668"
"95356","901.3869648637783","901.3869648637783","901.3869648637783","1098.877711823755","1098.877711823755","1098.877711823755","1126.4517109640149","1126.4517109640149","1126.4517109640149"
"96125","935.4578942350028","935.4578942350028","935.4578942350028","1072.0537458796002","1072.0537458796002","1072.0537458796002","1113.4689957859975","1113.4689957859975","1113.4689957859975"
"96894","907.2670894568311","907.2670894568311","907.2670894568311","1118.2430362211537","1118.2430362211537","1118.2430362211537","1122.6819216573647","1122.6819216573647","1122.6819216573647"
"97663","930.8598291299666","930.8598291299666","930.8598291299666","1101.9268567789318","1101.9268567789318","1101.9268567789318","1112.6927519310887","1112.6927519310887","1112.6927519310887"
"98432","899.9685637882666","899.9685637882666","899.9685637882666","1035.409661074578","1035.409661074578","1035.409661074578","1114.3846302744087","1114.3846302744087","1114.3846302744087"
"99201","962.3794628583984","962.3794628583984","962.3794628583984","988.7292550630558","988.7292550630558","988.7292550630558","1134.6763100898097","1134.6763100898097","1134.6763100898097"
"99970","976.9200529508403","976.9200529508403","976.9200529508403","999.9273458594056","999.9273458594056","999.9273458594056","1136.1470880831919","1136.1470880831919","1136.1470880831919"
"100739","976.3773433285927","976.3773433285927","976.3773433285927","987.4368531967838","987.4368531967838","987.4368531967838","1122.3503296672889","1122.3503296672889","1122.3503296672889"
"101508","1045.6631951896318","1045.6631951896318","1045.6631951896318","1039.2533345851098","1039.2533345851098","1039.2533345851098","1133.7169110541583","1133.7169110541583","1133.7169110541583"
"102277","1051.0258784629543","1051.0258784629543","1051.0258784629543","1026.8782999272053","1026.8782999272053","1026.8782999272053","1125.5939564893292","1125.5939564893292","1125.5939564893292"
"103046","1059.693076369084","1059.693076369084","1059.693076369084","1004.3787021297322","1004.3787021297322","1004.3787021297322","1121.356051728589","1121.356051728589","1121.356051728589"
"103815","1054.625282275659","1054.625282275659","1054.625282275659","1021.7171958348395","1021.7171958348395","1021.7171958348395","1097.7701507042823","1097.7701507042823","1097.7701507042823"
"104584","1016.821938898571","1016.821938898571","1016.821938898571","1056.575739006015","1056.575739006015","1056.575739006015","1125.098903403328","1125.098903403328","1125.098903403328"
"105353","1045.7733719597697","1045.7733719597697","1045.7733719597697","1016.6604784740279","1016.6604784740279","1016.6604784740279","1125.6899480733816","1125.6899480733816","1125.6899480733816"
"106122","1051.9577662633412","1051.9577662633412","1051.9577662633412","1044.7285787359808","1044.7285787359808","1044.7285787359808","1140.4203020307887","1140.4203020307887","1140.4203020307887"
"106891","1062.5219237600684","1062.5219237600684","1062.5219237600684","990.0543379803119","990.0543379803119","990.0543379803119","1125.9661264274007","1125.9661264274007","1125.9661264274007"
"107660","1016.2136117066673","1016.2136117066673","1016.2136117066673","967.531905685248","967.531905685248","967.531905685248","1142.0509805121337","1142.0509805121337","1142.0509805121337"
"108429","1039.0088170320112","1039.0088170320112","1039.0088170320112","877.3689296706788","877.3689296706788","877.3689296706788","1130.717620148315","1130.717620148315","1130.717620148315"
"109198","1081.4915245887914","1081.4915245887914","1081.4915245887914","1004.5578339836442","1004.5578339836442","1004.5578339836442","1162.00870985759","1162.00870985759","1162.00870985759"
"109967","1060.4025343692454","1060.4025343692454","1060.4025343692454","972.9504542320294","972.9504542320294","972.9504542320294","1160.0944811420698","1160.0944811420698","1160.0944811420698"
"110736","1048.3657910998136","1048.3657910998136","1048.3657910998136","1072.5352010127851","1072.5352010127851","1072.5352010127851","1163.7502346214776","1163.7502346214776","1163.7502346214776"
"111505","1036.735884572903","1036.735884572903","1036.735884572903","1093.8447774001925","1093.8447774001925","1093.8447774001925","1168.3016805420077","1168.3016805420077","1168.3016805420077"
"112274","1052.1447397158954","1052.1447397158954","1052.1447397158954","1068.940885347357","1068.940885347357","1068.940885347357","1165.5078218785493","1165.5078218785493","1165.5078218785493"
"113043","1016.0901132464938","1016.0901132464938","1016.0901132464938","1043.133188290763","1043.133188290763","1043.133188290763","1158.6444001763184","1158.6444001763184","1158.6444001763184"
"113812","1007.7990550720016","1007.7990550720016","1007.7990550720016","1082.7461605776082","1082.7461605776082","1082.7461605776082","1178.6443644164215","1178.6443644164215","1178.6443644164215"
"114581","1024.7198548086649","1024.7198548086649","1024.7198548086649","1081.9640197970632","1081.9640197970632","1081.9640197970632","1180.5762282190321","1180.5762282190321","1180.5762282190321"
"115350","1002.5621063297529","1002.5621063297529","1002.5621063297529","1079.5606160269765","1079.5606160269765","1079.5606160269765","1161.7419952157325","1161.7419952157325","1161.7419952157325"
"116119","1004.4004230384588","1004.4004230384588","1004.4004230384588","1104.343832525022","1104.343832525022","1104.343832525022","1145.4082448481095","1145.4082448481095","1145.4082448481095"
"116888","1031.0235234836268","1031.0235234836268","1031.0235234836268","1090.223514465503","1090.223514465503","1090.223514465503","1155.0161288375966","1155.0161288375966","1155.0161288375966"
"117657","1090.9478701555506","1090.9478701555506","1090.9478701555506","1120.5235122352847","1120.5235122352847","1120.5235122352847","1147.129499736938","1147.129499736938","1147.129499736938"
"118426","1077.839885062427","1077.839885062427","1077.839885062427","1103.318730446585","1103.318730446585","1103.318730446585","1156.612494779437","1156.612494779437","1156.612494779437"
"119195","1045.619283315847","1045.619283315847","1045.619283315847","1122.3933440364608","1122.3933440364608","1122.3933440364608","1173.041869565271","1173.041869565271","1173.041869565271"
"119964","1080.5076633531467","1080.5076633531467","1080.5076633531467","1152.731744662188","1152.731744662188","1152.731744662188","1181.760272686244","1181.760272686244","1181.760272686244"
"120733","1052.6578671117334","1052.6578671117334","1052.6578671117334","1182.7715350756293","1182.7715350756293","1182.7715350756293","1166.9062451898112","1166.9062451898112","1166.9062451898112"
"121502","1044.818718027028","1044.818718027028","1044.818718027028","1172.6186093834124","1172.6186093834124","1172.6186093834124","1196.8055919322542","1196.8055919322542","1196.8055919322542"
"122271","1079.486342565791","1079.486342565791","1079.486342565791","1184.9454125559614","1184.9454125559614","1184.9454125559614","1195.29148688437","1195.29148688437","1195.29148688437"
"123040","1078.0230053794646","1078.0230053794646","1078.0230053794646","1214.8734298162897","1214.8734298162897","1214.8734298162897","1188.3695116644658","1188.3695116644658","1188.3695116644658"
"123809","1115.8531091057055","1115.8531091057055","1115.8531091057055","1203.304675430084","1203.304675430084","1203.304675430084","1170.954199540399","1170.954199540399","1170.954199540399"
"124578","1108.908845150887","1108.908845150887","1108.908845150887","1205.2986757072526","1205.2986757072526","1205.2986757072526","1161.9404404575773","1161.9404404575773","1161.9404404575773"
"125347","1113.5999301022596","1113.5999301022596","1113.5999301022596","1222.2749848552226","1222.2749848552226","1222.2749848552226","1171.795050125371","1171.795050125371","1171.795050125371"
"126116","1087.1975342940655","1087.1975342940655","1087.1975342940655","1214.7608051093912","1214.7608051093912","1214.7608051093912","1173.1814096575904","1173.1814096575904","1173.1814096575904"
"126885","1085.8375679928283","1085.8375679928283","1085.8375679928283","1216.6676014723303","1216.6676014723303","1216.6676014723303","1162.2808052512912","1162.2808052512912","1162.2808052512912"
